,SOURCE_ID,random_index,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,astrometric_params_solved,pseudocolour,pseudocolour_error,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,phot_variable_flag,l,b,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,ag_gspphot,ebpminrp_gspphot
790,68297062409459072,331047706,55.95451634870133,24.50149927466218,0.8283663080579456,0.027489562,30.133848,1.243421543235687,0.027942805,1.9580229401263798,0.018052984,31,,,0,0,1.0107518,4301.3223,14.603638,465.95023,15.093346,1040.2511,13.945088,1.2339655,1.1482573,2.1909003,5.05178,15,4.3580203,,,NOT_AVAILABLE,165.70143202718793,-23.719662152296586,False,False,0,True,True,False,False,False,True,True,False,5869.9556,4.1561,-0.2175,951.2849,0.7415,0.4013
791,68297096769195904,1579863733,55.96427884258083,24.50554160501266,0.5693550146103638,0.04250736,13.394269,4.061439111459815,0.045953766,-2.368135793704891,0.02931365,31,,,1,0,0.9972396,2776.7283,15.660607,387.12775,16.105637,397.24612,15.035066,1.2302547,1.070571,,,,,,,NOT_AVAILABLE,165.70575278535497,-23.7107400829036,False,False,0,False,False,False,False,False,True,True,False,5895.6626,4.3745,-0.5414,1173.9303,0.6213,0.3378
792,68297131129004032,77846345,55.98892661239964,24.51031811941016,1.2031932075872622,0.021119146,56.97168,4.962659978914648,0.023463946,-8.43261109003324,0.016557856,31,,,0,0,1.0644757,5333.7764,13.997336,956.4014,14.435226,1212.6509,13.383177,1.2256203,1.0520496,44.790836,4.188998,14,6.8186274,,,NOT_AVAILABLE,165.72059422423874,-23.69227084096346,False,False,0,True,True,False,False,False,True,True,False,6079.0723,4.2072,-0.7952,795.2128,0.6945,0.3792
793,68297165488742272,1237044834,55.99431786172008,24.517267509039108,0.8195445200784015,0.03888014,21.078745,2.0205781050860443,0.044495627,-7.632655061296885,0.029324852,31,,,0,0,1.0369262,2675.8083,15.5195,221.1797,15.977544,439.4606,14.874894,1.2377857,1.1026497,,,,,,,NOT_AVAILABLE,165.71955499970787,-23.683818018057746,False,False,0,True,False,False,False,False,True,True,False,5773.591,4.5059,-0.7153,867.577,0.6241,0.3399
794,68297234208146304,1588224582,55.98696169745753,24.532580714459115,0.8208020937808452,0.017658127,46.482964,-6.5040989063201,0.0198887,-14.012635307678936,0.013258568,31,,,0,0,1.157637,4366.8594,11.613476,1518.2512,12.260408,2848.034,10.83634,1.2607896,1.4240685,-42.446613,0.3964423,15,48.906643,1.0708232,0.09902917,NOT_AVAILABLE,165.7029837915775,-23.676819793111868,False,False,0,True,True,False,False,False,False,True,False,,,,,,
795,68297234208146944,18056448,55.9772415025412,24.530912102491442,1.1424245171554497,0.024306523,47.00074,-1.1632844299499876,0.026005182,-8.28176807862637,0.017065402,31,,,0,0,0.99722385,4602.071,14.481937,720.68567,14.925097,1181.5247,13.864035,1.2258329,1.0610628,-51.713535,7.3805037,15,4.9688826,,,NOT_AVAILABLE,165.69697674926016,-23.68394124117539,False,False,0,True,True,False,False,False,True,True,False,5388.8354,4.2548,-0.8918,825.7742,0.342,0.1859
796,68297406006861824,717392876,55.831551913473405,24.41596878544954,4.607742675051445,0.016393395,281.0731,14.88786837266264,0.016082743,12.017259208224992,0.010912941,31,,,0,0,0.90409493,4535.46,11.865888,1492.4832,12.255582,2653.5952,11.302376,1.2138354,0.95320606,5.972008,0.4430986,13,34.12945,-1.5752544,0.953697,NOT_AVAILABLE,165.6719813874707,-23.857928089159675,False,False,0,True,True,False,False,False,True,True,False,5790.57,4.4171,-0.4979,212.2428,0.3465,0.1877
797,66537156612518528,1015071065,57.71915929100126,24.131328590706616,4.438353769314974,0.12049449,36.834496,38.15666166988653,0.13257183,-32.049725986836464,0.08890451,31,,,1,0,0.98015016,913.4678,17.967558,26.904156,19.53837,190.89084,16.754519,1.4572169,2.7838516,,,,,,,NOT_AVAILABLE,167.26797987400306,-22.911342857081877,False,False,0,False,False,False,False,False,True,True,False,3293.1084,4.9665,-0.1967,226.3194,0.4644,0.307
798,66537362770947840,976961145,57.697979124755726,24.14803642419925,0.5917919054023898,0.04369371,13.544099,1.0247411770207457,0.049428698,2.1116106850209806,0.03316361,31,,,0,0,0.9077596,3377.718,15.902374,301.92126,16.438948,825.1397,15.201175,1.2453812,1.237773,,,,,,,NOT_AVAILABLE,167.24026201274071,-22.91228489487705,False,False,0,True,False,False,False,False,True,True,False,5398.39,4.3944,-0.7643,1076.557,0.6528,0.3549
799,66537465850160768,466364079,57.70739513243025,24.160204585996773,3.1655778739175897,0.07918357,39.97771,3.0307204201319786,0.0822671,-32.683870994125876,0.060826644,31,,,0,0,0.92031556,1567.1885,17.010225,59.50218,18.196962,258.20938,15.94034,1.3707209,2.2566223,,,,,,,NOT_AVAILABLE,167.23808939437646,-22.897524311834882,False,False,0,True,False,False,False,False,False,True,False,,,,,,
