GaiaDR3 RA_ICRS DE_ICRS dpgeo b_dpgeo B_dpgeo Gmag e_Gmag BPmag e_BPmag RPmag e_RPmag Mass e_Mass logT e_logT logL e_logL logg e_logg Simbad x y z vx vy vz
68046133239891584 53.789279 24.238699 131.790 131.282 132.216 14.3571 0.0013 15.4640 0.0033 13.3095 0.0019 0.5343 0.0072 3.5647 0.0032 -1.3239 0.0206 4.7046 0.0114 Simbad 70.992283 96.960581 54.104933 0.0 0.0 0.0
68475904847290240 53.793548 24.531664 138.478 136.843 139.880 16.6671 0.0014 18.4046 0.0239 15.4027 0.0029 0.2939 0.0282 3.4936 0.0061 -1.9953 0.0662 4.8224 0.0223 Simbad 74.414685 101.650753 57.495519 0.0 0.0 0.0
68014964661425280 53.817877 23.799244 133.798 131.765 135.494 17.3782 0.0017 19.4452 0.0390 16.0704 0.0052 0.1946 0.0253 3.4692 0.0083 -2.2391 0.0718 4.8176 0.0317 Simbad 72.271408 98.811031 53.991940 0.0 0.0 0.0
67793309988387456 53.828236 23.438986 135.622 132.283 140.807 18.3562 0.0019 20.6174 0.1179 16.9924 0.0089 0.1695 0.0053 3.4507 0.0018 -2.3999 0.0278 4.7990 0.0255 Simbad 73.440181 100.447110 53.946668 0.0 0.0 0.0
67618285777617664 53.882161 22.823383 132.071 131.826 132.448 9.7339 0.0005 10.0036 0.0006 9.3028 0.0004 1.1926 0.0124 3.7967 0.0025 0.2348 0.0192 4.4194 0.0059 Simbad 71.753781 98.334669 51.229254 0.0 0.0 0.0
64589062523316736 53.934541 22.452591 138.600 137.704 139.601 15.7065 0.0006 17.1915 0.0055 14.5194 0.0013 0.4115 0.0151 3.5197 0.0040 -1.6959 0.0414 4.7731 0.0173 Simbad 75.409846 103.543775 52.933954 0.0 0.0 0.0
64588753286083328 53.943452 22.413712 140.192 137.856 142.507 17.4060 0.0014 19.3064 0.0375 16.0796 0.0034 0.2071 0.0333 3.4729 0.0097 -2.2052 0.0873 4.8212 0.0306 Simbad 76.281100 104.774314 53.454036 0.0 0.0 0.0
68530124514310912 53.957065 25.079899 136.833 136.061 137.614 15.3214 0.0007 16.6823 0.0061 14.1696 0.0013 0.4498 0.0115 3.5307 0.0037 -1.5852 0.0338 4.7491 0.0155 Simbad 72.920541 100.208515 58.001001 0.0 0.0 0.0
69409424578948608 53.959616 25.705590 134.640 133.779 135.494 15.8459 0.0015 17.4345 0.0113 14.6236 0.0028 0.3864 0.0152 3.5135 0.0036 -1.7644 0.0393 4.7875 0.0177 Simbad 71.376511 98.095865 58.399695 0.0 0.0 0.0
69294319455655808 53.983635 25.366357 135.000 134.421 135.508 15.1542 0.0007 16.5079 0.0060 14.0059 0.0026 0.4623 0.0084 3.5349 0.0029 -1.5476 0.0247 4.7413 0.0143 Simbad 71.728725 98.666844 57.834626 0.0 0.0 0.0
69294010218010240 54.022239 25.350817 130.918 129.708 132.129 16.4183 0.0010 18.0852 0.0139 15.1591 0.0064 0.3120 0.0241 3.4974 0.0051 -1.9520 0.0568 4.8182 0.0212 Simbad 69.504310 95.742602 56.053791 0.0 0.0 0.0
67832346947351424 54.046206 23.806258 135.363 133.525 137.411 17.2400 0.0011 19.1874 0.0390 15.9385 0.0035 0.2146 0.0301 3.4750 0.0084 -2.1859 0.0770 4.8228 0.0295 Simbad 72.713866 100.251968 54.638632 0.0 0.0 0.0
68505110624876032 54.114113 24.687960 131.029 130.357 131.620 15.9734 0.0013 17.6185 0.0080 14.7407 0.0020 0.3643 0.0127 3.5085 0.0028 -1.8222 0.0307 4.7988 0.0178 Simbad 69.785296 96.454616 54.727692 0.0 0.0 0.0
68398732874994944 54.126359 24.011985 141.590 141.356 141.858 11.9781 0.0020 12.5011 0.0027 11.3033 0.0020 0.8322 0.0083 3.6987 0.0022 -0.5337 0.0139 4.6354 0.0046 Simbad 75.791346 104.803112 57.616895 0.0 0.0 0.0
67724697887107200 54.160080 23.145478 132.471 130.227 134.744 17.5164 0.0018 19.5093 0.0572 16.1981 0.0044 0.1848 0.0261 3.4658 0.0096 -2.2682 0.0815 4.8140 0.0330 Simbad 71.321560 98.744698 52.069988 0.0 0.0 0.0
68506347575444096 54.264568 24.743023 134.214 133.686 134.752 15.0238 0.0008 16.3765 0.0047 13.8775 0.0019 0.4727 0.0082 3.5386 0.0030 -1.5160 0.0243 4.7350 0.0139 Simbad 71.190424 98.942783 56.175157 0.0 0.0 0.0
58259414601023744 54.295323 21.202613 133.193 131.710 134.814 17.2201 0.0015 19.1334 0.0315 15.9349 0.0042 0.2154 0.0248 3.4753 0.0069 -2.1839 0.0632 4.8230 0.0291 Simbad 72.470512 100.836019 48.171522 0.0 0.0 0.0
64272128296706432 54.301389 21.467953 134.605 134.357 134.874 12.0392 0.0014 12.5648 0.0028 11.3567 0.0020 0.8091 0.0082 3.6905 0.0022 -0.5881 0.0139 4.6449 0.0041 Simbad 73.095656 101.728573 49.262839 0.0 0.0 0.0
68514559552895488 54.342782 24.904329 138.751 137.501 140.048 16.7850 0.0010 18.5035 0.0169 15.5335 0.0028 0.2823 0.0234 3.4912 0.0052 -2.0227 0.0546 4.8243 0.0229 Simbad 73.361662 102.254590 58.428652 0.0 0.0 0.0
69400010010608768 54.350691 25.722123 132.062 131.624 132.668 14.5381 0.0007 15.7209 0.0047 13.4607 0.0025 0.5167 0.0077 3.5566 0.0033 -1.3787 0.0228 4.7117 0.0123 Simbad 69.341838 96.679762 57.315828 0.0 0.0 0.0
68452265347345664 54.360041 24.566848 129.447 128.440 130.642 16.4826 0.0007 18.1841 0.0144 15.2240 0.0055 0.3002 0.0222 3.4950 0.0048 -1.9803 0.0519 4.8211 0.0217 Simbad 68.599529 95.677762 53.818192 0.0 0.0 0.0
68513356962056704 54.377946 24.848328 129.892 127.960 131.223 17.0715 0.0011 18.9651 0.0289 15.7828 0.0036 0.2255 0.0279 3.4779 0.0074 -2.1587 0.0690 4.8246 0.0282 Simbad 68.649992 95.811357 54.582907 0.0 0.0 0.0
68192093408157568 54.379520 23.768518 140.838 138.248 143.115 17.6121 0.0011 19.4735 0.0487 16.3111 0.0042 0.1929 0.0297 3.4686 0.0098 -2.2440 0.0852 4.8171 0.0323 Simbad 75.068623 104.775598 56.763698 0.0 0.0 0.0
68458514523905408 54.392500 24.704074 138.185 136.406 140.453 17.6934 0.0024 19.6391 0.0381 16.3948 0.0054 0.1813 0.0206 3.4645 0.0081 -2.2793 0.0682 4.8125 0.0327 Simbad 73.091969 102.065553 57.751887 0.0 0.0 0.0
71021927100882560 54.400126 26.546680 134.574 134.135 135.090 14.1866 0.0009 15.2804 0.0031 13.1426 0.0017 0.5522 0.0071 3.5734 0.0032 -1.2685 0.0198 4.6987 0.0105 Simbad 70.079206 97.886054 60.144728 0.0 0.0 0.0
69502298951642496 54.407142 26.350992 128.577 127.271 129.644 16.6821 0.0010 18.4154 0.0226 15.4189 0.0032 0.2740 0.0233 3.4894 0.0052 -2.0425 0.0545 4.8253 0.0235 Simbad 67.058659 93.691216 57.071326 0.0 0.0 0.0
64574352259640192 54.422376 22.288475 134.211 132.522 136.548 17.2962 0.0010 19.3312 0.0403 15.9782 0.0049 0.2032 0.0293 3.4718 0.0089 -2.2157 0.0785 4.8202 0.0309 Simbad 72.250664 101.001973 50.902212 0.0 0.0 0.0
68468203969427200 54.448033 24.895985 141.263 139.566 142.862 17.4058 0.0014 19.3462 0.0430 16.1185 0.0043 0.2087 0.0239 3.4734 0.0070 -2.2013 0.0626 4.8215 0.0299 Simbad 74.503496 104.249915 59.467803 0.0 0.0 0.0
67756789882795008 54.485196 23.382232 131.855 130.895 132.753 15.8594 0.0007 17.4214 0.0072 14.6458 0.0021 0.3815 0.0167 3.5124 0.0039 -1.7772 0.0430 4.7901 0.0182 Simbad 70.306056 98.511606 52.328404 0.0 0.0 0.0
68433814167849728 54.508589 24.337394 137.928 136.647 139.123 16.1796 0.0008 17.8085 0.0292 14.9333 0.0059 0.3541 0.0221 3.5063 0.0048 -1.8482 0.0548 4.8034 0.0199 Simbad 72.962157 102.321613 56.841381 0.0 0.0 0.0
68195598101454336 54.510245 23.909656 132.156 131.059 133.184 16.4952 0.0015 18.1449 0.0153 15.2607 0.0025 0.3073 0.0210 3.4965 0.0045 -1.9633 0.0493 4.8194 0.0212 Simbad 70.140112 98.370012 53.562256 0.0 0.0 0.0
64250477365329536 54.536751 21.246792 132.859 132.549 133.181 14.1586 0.0011 15.2064 0.0064 13.1359 0.0038 0.5545 0.0054 3.5746 0.0024 -1.2615 0.0143 4.6981 0.0103 Simbad 71.842796 100.856662 48.146220 0.0 0.0 0.0
68448142178730752 54.554413 24.637856 135.653 133.781 137.371 16.8470 0.0021 18.6476 0.0148 15.5606 0.0036 0.2641 0.0325 3.4872 0.0074 -2.0659 0.0766 4.8260 0.0244 Simbad 71.507208 100.451059 56.551219 0.0 0.0 0.0
64671903852618624 54.594182 22.499479 134.785 134.578 134.983 9.9413 0.0004 10.2314 0.0017 9.4870 0.0015 1.1579 0.0090 3.7885 0.0016 0.1698 0.0124 4.4383 0.0041 Simbad 72.145628 101.496932 51.578856 0.0 0.0 0.0
67732257029618048 54.597554 23.107846 134.131 133.579 134.555 14.3113 0.0015 15.4050 0.0074 13.2736 0.0040 0.5418 0.0073 3.5683 0.0033 -1.3005 0.0210 4.7020 0.0110 Simbad 71.469844 100.558749 52.641463 0.0 0.0 0.0
68624613795266432 54.600999 25.330201 138.876 137.309 140.372 17.0968 0.0010 19.0193 0.0300 15.7937 0.0037 0.2357 0.0255 3.4805 0.0064 -2.1337 0.0618 4.8257 0.0270 Simbad 72.711948 102.319429 59.415927 0.0 0.0 0.0
71056252479453056 54.616063 26.856932 140.149 137.832 141.952 16.9379 0.0008 18.8051 0.0210 15.6452 0.0022 0.2582 0.0357 3.4858 0.0082 -2.0799 0.0845 4.8263 0.0249 Simbad 72.400201 101.937491 63.314307 0.0 0.0 0.0
64276315888567424 54.624327 21.564884 135.493 135.256 135.688 12.3702 0.0014 12.9801 0.0049 11.6285 0.0032 0.7631 0.0071 3.6729 0.0019 -0.6984 0.0114 4.6604 0.0026 Simbad 72.950878 102.744216 49.801079 0.0 0.0 0.0
68142374866825216 54.642599 23.718530 132.645 130.996 134.283 17.1834 0.0013 19.1566 0.0483 15.8903 0.0047 0.2151 0.0262 3.4752 0.0074 -2.1848 0.0671 4.8229 0.0293 Simbad 70.274763 99.042063 53.355642 0.0 0.0 0.0
68141408498321280 54.643789 23.672714 137.389 135.859 138.940 17.1384 0.0008 18.9254 0.0212 15.8472 0.0033 0.2361 0.0258 3.4806 0.0065 -2.1328 0.0626 4.8257 0.0269 Simbad 72.811533 102.621789 55.163289 0.0 0.0 0.0
64679840952155264 54.669767 22.659410 134.815 134.101 135.540 6.7019 0.0003 6.6889 0.0010 6.6888 0.0009 2.5543 0.0886 4.0360 0.0108 1.6733 0.0637 4.2668 0.0131 Simbad 71.944140 101.496750 51.937802 0.0 0.0 0.0
68254765570883712 54.690692 24.467571 135.389 133.341 137.395 17.3235 0.0063 19.2391 0.0301 16.0209 0.0039 0.2081 0.0308 3.4732 0.0089 -2.2026 0.0805 4.8214 0.0303 Simbad 71.226028 100.561483 56.075168 0.0 0.0 0.0
68620868583787904 54.720526 25.236247 127.832 127.562 128.097 13.4976 0.0013 14.3656 0.0041 12.5800 0.0028 0.6136 0.0052 3.6045 0.0023 -1.0871 0.0126 4.6864 0.0068 Simbad 66.784672 94.395061 54.501381 0.0 0.0 0.0
