rank,name,status,pollution_score,source_score,source_count,contaminated_pixels,coverage_fraction,residual_sigma,aperture_radius_pixels,center_radius_pixels,rejected_large_segments,image_path,error
1,NGC0298,ok,0.0,0.0,0,0,0.0,0.03199538565747271,19.600000381469727,8.166666825612387,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC0298.phot.1.fits,
2,NGC1347,ok,0.0,0.0,0,0,0.0,0.02017687744734692,30.799999237060547,12.833333015441895,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1347.phot.1.fits,
3,NGC4625,ok,0.0,0.0,0,0,0.0,0.05968090807162044,18.8836017521517,7.868167396729876,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4625.phot.1.fits,
4,UGC08851,ok,0.0,0.0,0,0,0.0,0.01078468780816229,34.79999923706055,14.499999682108562,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC08851.phot.1.fits,
5,NGC3486,ok,1.8129613666650153,1.7589365152333567,1,8,0.0021609940572663426,0.06180754374943306,37.7672035043034,15.736334793459752,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3486.phot.1.fits,
6,NGC3681,ok,1.949432944834249,1.9111676387118,1,9,0.001530612244897959,0.021115649407147802,47.599998474121094,19.833332697550457,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3681.phot.1.fits,
7,UGC09661,ok,1.9715231469766883,1.9213475323254088,1,8,0.002007024586051179,0.013760652809798912,39.20000076293945,16.333333651224773,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC09661.phot.1.fits,
8,ESO420-009,ok,2.2829545865747147,2.0238872290617613,1,8,0.010362694300518135,0.01918958780278011,17.200000762939453,7.1666669845581055,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO420-009.phot.1.fits,
9,PGC013821,ok,4.028526707815804,3.7837714630605586,1,21,0.009790209790209791,0.02715224251721473,28.799999237060547,11.999999682108562,1,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/PGC013821.phot.1.fits,
10,NGC6412,ok,4.554099575841365,4.417859793825016,2,20,0.005449591280653951,0.029989494667164572,37.599998474121094,15.666666030883789,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC6412.phot.1.fits,
