fit,intercept,slope
fig9_bpmorph_logmstar,-63.006435900515456,6.122222852940198
fig9_ed17_logmstar,-42.79,4.13
fig9_no_ed17_logmstar,-63.124788674436815,6.1900522187150075
fig10_bpmorph_logvrot,-57.964663254824956,27.008022585107422
fig11_psh_pe_logmstar,-46.69821364293907,4.611871122156639
fig11_psh_vpd_logmstar,-50.61399257635582,5.018288081365982
