label,area,elongation,x_centroid,y_centroid,peak_residual,distance_from_center,kept
1,46,1.1887173853319155,310.19565217391306,24.217391304347824,7.577524086579446,265.4774998564977,True
2,31,1.6142374848273393,365.4193548387097,28.06451612903226,0.3536374486290007,271.3403160563978,True
3,44,2.3665397713719307,188.3409090909091,29.545454545454547,0.2504998563374116,279.0260742355556,True
4,19,5.156833277446868,201.89473684210526,29.05263157894737,0.113222440849131,274.79516420684723,True
5,13,1.4065943602248547,197.30769230769232,33.07692307692308,0.16946012561496215,272.5341626704535,True
6,14,1.1205227007708747,339.64285714285717,37.214285714285715,0.21445606665374478,256.44136458338335,True
7,28,1.1523659989028567,349.42857142857144,44.964285714285715,0.4064837654085542,250.93291495163095,True
8,24,2.0459140460540697,380.9166666666667,47.541666666666664,0.182564400137983,257.6570078234931,True
9,9,1.0,342.0,47.0,0.18087740277965464,247.315587862957,True
10,12,1.2393278361485243,222.66666666666666,51.083333333333336,0.1839812490146549,247.53542114659513,True
11,16,1.0621700090875885,240.625,57.875,0.21230509674461495,236.55106478306118,True
12,23,1.020232029834124,255.08695652173913,61.391304347826086,0.30691952640097603,230.42453217562445,True
13,11,1.4168976552472359,293.3636363636364,61.90909090909091,0.26459686068719274,227.1032095074727,True
14,11,1.1085311909574123,384.45454545454544,65.0,0.21795924881794793,242.71331250286974,True
15,47,1.1916954233361616,315.9574468085106,68.53191489361703,3.93587075198223,221.87620580331492,True
16,10,1.166032464951566,212.3,68.0,0.1926609425987682,234.59473566131018,True
17,15,1.199915289122336,295.26666666666665,70.33333333333333,0.2543365279239175,218.70828872165674,True
18,12,1.8700634682628212,407.9166666666667,70.33333333333333,0.15256752494416836,247.96092042004435,True
19,14,1.4043776074209475,422.2857142857143,82.78571428571429,0.28844089049212623,244.4591385245462,True
20,18,1.8488391090021383,392.3888888888889,85.55555555555556,0.20265695015318447,227.3089280372245,True
21,15,1.2322515544433117,355.2,86.33333333333333,0.298002852062377,212.5921395013884,True
22,13,1.1991120975476843,163.92307692307693,87.3076923076923,0.10506072965992466,238.3869362212341,True
23,8,2.142032813207004,182.75,85.875,0.19586019383966505,230.16912939184525,True
24,11,1.2642383729006357,248.54545454545453,89.36363636363636,0.09358085350110984,204.10062742603824,True
25,10,1.3657170831798295,402.6,91.9,0.26732759910828513,226.50158939839693,True
26,19,1.154555774365382,411.63157894736844,93.84210526315789,0.2912645063687038,229.43099554648566,True
27,12,1.320037055879846,432.0,95.58333333333333,0.20580303757139676,239.3553988203409,True
28,9,1.627266760177443,317.3333333333333,97.0,0.12081562029354122,193.79743147019374,True
29,8,1.2649110640673515,291.875,98.125,0.15958932111241583,190.87700555593383,True
30,59,1.6975476243786114,366.6271186440678,101.55932203389831,2.172299388483625,202.1224105110459,True
31,37,1.0992462943293975,265.7567567567568,100.8108108108108,1.787352481336985,189.87467513368387,True
32,17,1.7182980191694694,332.05882352941177,101.0,0.18316100960590556,192.43135656545005,True
33,17,1.241857968422392,393.29411764705884,101.58823529411765,0.28538865310390604,213.51172346117983,True
34,20,2.3626040399528367,416.35,101.1,0.15337998729774993,225.87393054533763,True
35,16,1.441371313814677,145.1875,115.875,0.15508026637444217,226.34829529123917,True
36,14,1.4348337316859634,190.21428571428572,117.64285714285714,0.17761164047248362,198.79897035006218,True
37,9,1.0,421.0,120.0,0.14415076914091765,213.21585306913744,True
38,14,1.1768757581402922,444.57142857142856,123.21428571428571,0.24348287555440518,225.98470464766828,True
39,55,1.7693192199840317,298.6727272727273,131.21818181818182,0.8172028366050637,157.96826546038284,True
40,8,1.2649110640673515,337.875,128.875,0.12448723860051959,166.84508158768122,True
41,21,1.0,317.0,133.0,0.6000529034546174,158.15182578775372,True
42,16,2.1835982547095063,135.6875,135.25,0.42543509339806684,218.542982399916,True
43,8,1.2247448713915892,343.0,134.5,0.12536002739473132,163.01610349901017,True
44,15,1.3008349570557234,431.73333333333335,135.6,0.37220343789254773,208.17644225779034,True
45,11,1.0384755040678713,254.1818181818182,136.1818181818182,0.21042363304893513,157.1908877976442,True
46,10,1.2649110640673515,296.2,141.0,0.22198697789230182,148.09132317593762,True
47,46,1.0670949471569993,237.32608695652175,145.84782608695653,4.372774571300144,152.88372652911463,True
48,23,1.1560181513646615,477.4347826086956,149.82608695652175,0.410676397148623,232.65275893095537,True
49,16,1.4236522448567681,449.9375,155.3125,0.281097466959945,207.6860047343104,True
50,8,1.2649110640673515,505.125,154.875,0.13985579106086182,252.6638700922631,True
51,10,1.2649110640673515,268.2,156.0,0.19439497529088262,134.94013487469175,True
52,23,1.1560181513646615,442.82608695652175,160.56521739130434,0.4862667187354011,198.86340554328294,True
53,44,1.016123974493035,269.65909090909093,162.5681818181818,2.7039434813147767,128.2202755011343,True
54,18,1.260822712772687,287.44444444444446,164.5,0.26549231578467697,124.55076063721425,True
55,9,1.390031392875195,461.3333333333333,164.88888888888889,0.14520168854049575,210.7534397007057,True
56,19,1.316301234725878,497.05263157894734,165.94736842105263,0.44762399642920275,239.99924399696252,True
57,39,1.1351818431848568,532.025641025641,168.30769230769232,0.9185975166887275,269.55517573943155,True
58,15,1.6806204365803872,547.3333333333334,169.2,0.3620380622301256,282.9466694940547,True
59,12,1.706723725524702,132.0,170.83333333333334,0.259190899502921,198.1018957786904,True
60,11,1.0384755040678713,229.1818181818182,172.8181818181818,0.27889480051576415,131.60434065538584,True
61,46,1.0069624371994135,356.0652173913044,175.67391304347825,3.754533039952814,130.67625836032659,True
62,15,1.147078669352809,443.4,175.6,0.23280961981343395,189.96136449288838,True
63,15,1.1371470653683553,133.46666666666667,176.86666666666667,0.3567487238222886,193.36658334768072,True
64,12,1.0954451150103326,570.9166666666666,178.41666666666666,0.2288659664716406,300.9684599570009,True
65,9,1.1766968108291043,161.55555555555554,181.77777777777777,0.15350655048699213,168.0847082152403,True
66,47,1.1513874254091216,90.63829787234043,185.36170212765958,105.52387283924459,225.57860817322404,True
67,18,1.2566240845210943,377.05555555555554,183.44444444444446,0.23815002560937948,136.1893312657687,True
68,10,1.49744823620252,515.7,183.9,0.18543141926895057,248.06470929981157,True
69,25,1.2351434990872776,214.84,190.32,0.37327262221755986,124.65186721425395,True
70,59,1.2998112235795858,85.79661016949153,194.01694915254237,73.95860917871178,226.1199043565655,True
71,17,1.539475122404789,569.7647058823529,193.11764705882354,0.22069576275980377,294.79346473626424,True
72,14,3.4893990161342487,259.7857142857143,195.71428571428572,0.12876016223802483,98.3694877614445,True
73,51,1.0804739048755598,274.5686274509804,198.68627450980392,0.958824938780523,91.79629086059616,True
74,30,1.0968774623786053,139.56666666666666,199.83333333333334,1.0666948521849926,175.73488239074476,True
75,18,1.0841640462812416,296.55555555555554,199.16666666666666,0.27090866661437807,90.00495528196569,True
76,37,1.6186520624628682,391.1621621621622,199.40540540540542,0.5094878935106488,134.38619761556257,True
77,8,1.2247448713915892,263.5,202.0,0.14803188600885833,91.24280793574911,True
78,10,1.3228756555322951,360.2,202.1,0.28957796396505914,111.08667786913064,True
79,9,1.8802452407742967,581.0,202.0,0.1301050152747123,302.768888758406,True
80,10,1.3693063937629153,315.8,206.5,0.15512872160105673,86.14690940480686,True
81,48,1.142362203134729,455.2916666666667,209.83333333333334,8.50273810985416,182.37081139048053,True
82,18,1.4847978798033399,562.2222222222222,209.83333333333334,0.2686223289874488,282.5400059076087,True
83,11,1.416897655247236,372.3636363636364,209.0909090909091,0.27580588248869364,114.04167717212601,True
84,9,1.2082071081619317,484.77777777777777,212.66666666666666,0.17555160664443276,208.27050904597994,True
85,16,1.255692093297976,210.875,213.75,0.24996147760356918,109.92078113350541,True
86,9,1.390031392875195,127.33333333333333,214.88888888888889,0.14442709409882057,179.66422729052448,True
87,30,2.4570003673661667,566.9333333333333,218.16666666666666,0.32367214865523714,284.8799142718832,True
88,9,1.9593938865875873,53.111111111111114,216.77777777777777,1.3190622519657074,248.61048417053163,True
89,15,1.4733419770511083,299.26666666666665,220.06666666666666,0.29553199786316775,69.42724409208695,True
90,50,1.0343725445242997,431.88,221.36,17.49187347634452,156.2764985530454,True
91,8,1.2649110640673515,379.875,224.875,0.18433809951865085,109.59370990161798,True
92,19,1.310018893166925,169.21052631578948,228.73684210526315,0.30897251450717,135.8834945816562,True
93,9,1.390031392875195,130.88888888888889,228.33333333333334,0.1821435849831338,171.2191938588633,True
94,16,1.2957516813067689,365.875,228.5625,0.14470045743452603,96.22347442932,True
95,55,1.061804866519545,437.58181818181816,231.29090909090908,18.459151037915788,157.53275403877544,True
96,8,1.2649110640673515,560.125,228.125,0.2223133396969976,275.9239591807859,True
97,29,1.3228147746969563,54.724137931034484,231.27586206896552,0.594516429145876,243.2249146290608,True
