rank,name,status,pollution_score,source_score,source_count,contaminated_pixels,coverage_fraction,residual_sigma,aperture_radius_pixels,center_radius_pixels,rejected_large_segments,image_path,error
1,NGC0298,ok,0.0,0.0,0,0,0.0,0.06557707993049515,19.600000381469727,3.0,2,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC0298.phot.1.fits,
2,NGC1347,ok,0.0,0.0,0,0,0.0,0.02943972142424746,30.799999237060547,3.59333324432373,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1347.phot.1.fits,
3,NGC4405,ok,0.0,0.0,0,0,0.0,0.09510621606114818,21.090777440879684,3.0,2,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4405.phot.1.fits,
4,NGC4765,ok,0.0,0.0,0,0,0.0,0.09118672175792929,21.581260147661673,3.0,2,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4765.phot.1.fits,
5,NGC5669,ok,0.0,0.0,0,0,0.0,0.05245761175006376,23.788433497583625,3.0,2,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC5669.phot.1.fits,
6,NGC3486,ok,0.09474803229994354,0.009771825637808944,1,15,0.003399048266485384,0.1141189999616775,37.7672035043034,4.40617374216873,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3486.phot.1.fits,
7,NGC4369,ok,0.26708877931780106,0.0349459221749439,1,13,0.009285714285714286,0.22268187071629414,21.336017624867665,3.0,1,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4369.phot.1.fits,
8,NGC3681,ok,0.38666768663289564,0.04112764673548898,4,97,0.013821601595896267,0.0267297099079511,47.599998474121094,5.553333155314127,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3681.phot.1.fits,
9,PGC013821,ok,0.48676215597944317,0.018378081037991146,1,48,0.01873536299765808,0.06640400139793111,28.799999237060547,3.359999910990397,1,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/PGC013821.phot.1.fits,
10,UGC08851,ok,0.5491507528623182,0.46262253135007114,1,13,0.003461128860489883,0.012309468288017388,34.79999923706055,4.059999910990397,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC08851.phot.1.fits,
11,NGC4713,ok,0.7924343982564602,0.46130857044189066,3,32,0.013245033112582781,0.10215427916245662,27.957540013439555,3.2617130015679483,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4713.phot.1.fits,
12,UGC09661,ok,0.7926702438634067,0.3201796936744104,4,90,0.01889962200755985,0.017133883126535857,39.20000076293945,4.5733334223429365,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC09661.phot.1.fits,
13,NGC3344,ok,0.8246120777495354,0.717386739577315,2,52,0.004289013526888816,0.060121027244858315,62.53660475425703,7.295937221329986,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3344.phot.1.fits,
14,IC0797,ok,0.8378648231295561,0.36616670992200895,2,41,0.018867924528301886,0.05153464539992428,26.486091893093594,3.0900440541942524,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC0797.phot.1.fits,
