name,status,segments_kept,segments_raw,masked_pixels,masked_fraction,report_png,cleaned_fits,elapsed_seconds,error
NGC0600,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-toy\NGC0600_mtobjects_optimised_report.png,,0.8705737999989651,
NGC0672,ok,0,2,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-toy\NGC0672_mtobjects_optimised_report.png,,1.8828712999966228,
NGC0685,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-toy\NGC0685_mtobjects_optimised_report.png,,0.9149751999939326,
NGC0701,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-toy\NGC0701_mtobjects_optimised_report.png,,0.8195745000048191,
NGC0918,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-toy\NGC0918_mtobjects_optimised_report.png,,0.9527759999982663,
NGC0986,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-toy\NGC0986_mtobjects_optimised_report.png,,1.3365405000004102,
NGC0991,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-toy\NGC0991_mtobjects_optimised_report.png,,0.814667600003304,
NGC1022,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-toy\NGC1022_mtobjects_optimised_report.png,,0.8208042000042042,
NGC1051,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-toy\NGC1051_mtobjects_optimised_report.png,,0.799502300003951,
NGC1097,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-toy\NGC1097_mtobjects_optimised_report.png,,2.3208990000057383,
NGC1187,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-toy\NGC1187_mtobjects_optimised_report.png,,2.0227231999961077,
NGC1255,ok,0,1,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-toy\NGC1255_mtobjects_optimised_report.png,,1.4632788000017172,
