rank,name,pollution_score,gaia_catalog_count,gaia_ir_match_count,strong_match_count,residual_sigma,aperture_radius_pixels,center_radius_pixels
1,NGC3681,0.0,2,0,0,0.0267297099079511,47.599998474121094,5.553333155314127
2,IC1954,0.0,3,0,0,0.11345666302907699,34.400001525878906,4.013333511352539
3,NGC1097,10.778078047619106,95,13,5,0.013187032606474228,230.52709203530043,26.89482740411838
