[I 2026-07-27 19:49:13,780] A new study created in RDB with name: sep-spike-gate-optimisation
[I 2026-07-27 19:57:33,087] Trial 17 finished with value: 20.548456071788692 and parameters: {'detect_thresh': 1.7176994436710873, 'minarea': 50, 'deblend_nthresh': 48, 'deblend_cont': 1.0229881291563528e-05, 'back_size': 32, 'filter_size': 1, 'dilation_radius': 2, 'max_area': 6592, 'max_elongation': 20.75396100766335}. Best is trial 17 with value: 20.548456071788692.
[I 2026-07-27 19:57:51,826] Trial 18 finished with value: 19.45902473717852 and parameters: {'detect_thresh': 1.4126684833520795, 'minarea': 41, 'deblend_nthresh': 46, 'deblend_cont': 1.1650894708556998e-05, 'back_size': 32, 'filter_size': 1, 'dilation_radius': 3, 'max_area': 7963, 'max_elongation': 20.916942450832078}. Best is trial 18 with value: 19.45902473717852.
[I 2026-07-27 19:58:13,014] Trial 19 finished with value: 28.39127308474567 and parameters: {'detect_thresh': 1.3771684862488116, 'minarea': 40, 'deblend_nthresh': 47, 'deblend_cont': 0.0001072861642673738, 'back_size': 64, 'filter_size': 5, 'dilation_radius': 1, 'max_area': 7854, 'max_elongation': 20.79010910649237}. Best is trial 18 with value: 19.45902473717852.
[I 2026-07-27 19:58:25,782] Trial 20 finished with value: 1000000.0 and parameters: {'detect_thresh': 1.3421773829824846, 'minarea': 39, 'deblend_nthresh': 64, 'deblend_cont': 2.6019026146056775e-05, 'back_size': 256, 'filter_size': 1, 'dilation_radius': 2, 'max_area': 6829, 'max_elongation': 13.164928906183814}. Best is trial 18 with value: 19.45902473717852.
[I 2026-07-27 19:58:42,515] Trial 21 finished with value: 20.458009338112152 and parameters: {'detect_thresh': 1.8756938330179254, 'minarea': 45, 'deblend_nthresh': 46, 'deblend_cont': 1.0581521762681104e-05, 'back_size': 32, 'filter_size': 1, 'dilation_radius': 3, 'max_area': 6464, 'max_elongation': 21.280461558037885}. Best is trial 18 with value: 19.45902473717852.
[I 2026-07-27 19:58:57,991] Trial 22 finished with value: 20.517617822291147 and parameters: {'detect_thresh': 1.9489650125659357, 'minarea': 43, 'deblend_nthresh': 42, 'deblend_cont': 1.5056825768977709e-05, 'back_size': 32, 'filter_size': 1, 'dilation_radius': 3, 'max_area': 6969, 'max_elongation': 20.49042561701281}. Best is trial 18 with value: 19.45902473717852.
[I 2026-07-27 19:59:11,993] Trial 23 finished with value: 21.077565079209826 and parameters: {'detect_thresh': 2.0425485615394727, 'minarea': 42, 'deblend_nthresh': 42, 'deblend_cont': 6.798728037497704e-05, 'back_size': 32, 'filter_size': 1, 'dilation_radius': 3, 'max_area': 7202, 'max_elongation': 21.079529298630714}. Best is trial 18 with value: 19.45902473717852.
[I 2026-07-27 19:59:31,595] Trial 24 finished with value: 19.927520722248108 and parameters: {'detect_thresh': 1.1405279469701086, 'minarea': 44, 'deblend_nthresh': 29, 'deblend_cont': 2.4602816784372826e-05, 'back_size': 32, 'filter_size': 1, 'dilation_radius': 3, 'max_area': 5223, 'max_elongation': 19.005569981744014}. Best is trial 18 with value: 19.45902473717852.
[I 2026-07-27 19:59:50,624] Trial 25 finished with value: 21.745542715319438 and parameters: {'detect_thresh': 1.201966088062626, 'minarea': 36, 'deblend_nthresh': 29, 'deblend_cont': 0.0003725326117028509, 'back_size': 32, 'filter_size': 1, 'dilation_radius': 4, 'max_area': 5003, 'max_elongation': 14.065608417271218}. Best is trial 18 with value: 19.45902473717852.
[I 2026-07-27 20:00:14,420] Trial 26 finished with value: 20.780501317820068 and parameters: {'detect_thresh': 1.0040978425850067, 'minarea': 45, 'deblend_nthresh': 28, 'deblend_cont': 3.205324343373754e-05, 'back_size': 32, 'filter_size': 1, 'dilation_radius': 3, 'max_area': 5175, 'max_elongation': 18.411514264636477}. Best is trial 18 with value: 19.45902473717852.
