[I 2026-07-27 19:50:36,961] A new study created in RDB with name: sep-toy-object-optimisation
[I 2026-07-27 19:55:56,451] Trial 16 finished with value: -0.5704716983119507 and parameters: {'detect_thresh': 1.4482674296244857, 'minarea': 11, 'deblend_nthresh': 19, 'deblend_cont': 0.00011197985742422268, 'back_size': 192, 'filter_size': 7, 'dilation_radius': 4, 'max_area': 4431, 'max_elongation': 14.483852076868116}. Best is trial 16 with value: -0.5704716983119507.
[I 2026-07-27 19:56:14,573] Trial 17 finished with value: -0.5872124303929341 and parameters: {'detect_thresh': 1.2499491057580794, 'minarea': 7, 'deblend_nthresh': 21, 'deblend_cont': 9.051742649626363e-05, 'back_size': 192, 'filter_size': 3, 'dilation_radius': 2, 'max_area': 4787, 'max_elongation': 13.326726705228964}. Best is trial 17 with value: -0.5872124303929341.
[I 2026-07-27 19:56:32,357] Trial 18 finished with value: -0.5864178302160531 and parameters: {'detect_thresh': 1.291261949509255, 'minarea': 7, 'deblend_nthresh': 20, 'deblend_cont': 7.370519964708538e-05, 'back_size': 192, 'filter_size': 3, 'dilation_radius': 2, 'max_area': 4520, 'max_elongation': 9.067689510325895}. Best is trial 17 with value: -0.5872124303929341.
[I 2026-07-27 19:56:51,116] Trial 19 finished with value: -0.5892333867630519 and parameters: {'detect_thresh': 1.2171694608190236, 'minarea': 7, 'deblend_nthresh': 20, 'deblend_cont': 1.3723647084603406e-05, 'back_size': 192, 'filter_size': 3, 'dilation_radius': 2, 'max_area': 6686, 'max_elongation': 9.388676314259511}. Best is trial 19 with value: -0.5892333867630519.
[I 2026-07-27 19:57:02,172] Trial 20 finished with value: -0.4706363806281097 and parameters: {'detect_thresh': 2.543748598591972, 'minarea': 19, 'deblend_nthresh': 25, 'deblend_cont': 1.1192121451695459e-05, 'back_size': 256, 'filter_size': 3, 'dilation_radius': 2, 'max_area': 6876, 'max_elongation': 6.1956303688565315}. Best is trial 19 with value: -0.5892333867630519.
[I 2026-07-27 19:57:21,675] Trial 21 finished with value: -0.586350974811953 and parameters: {'detect_thresh': 1.0724134429360015, 'minarea': 7, 'deblend_nthresh': 18, 'deblend_cont': 5.5587687382733187e-05, 'back_size': 192, 'filter_size': 3, 'dilation_radius': 2, 'max_area': 4593, 'max_elongation': 10.236701670966687}. Best is trial 19 with value: -0.5892333867630519.
[I 2026-07-27 19:57:37,703] Trial 22 finished with value: -0.5822183903525973 and parameters: {'detect_thresh': 1.332834041449555, 'minarea': 6, 'deblend_nthresh': 16, 'deblend_cont': 1.0968011768863555e-05, 'back_size': 192, 'filter_size': 3, 'dilation_radius': 2, 'max_area': 6988, 'max_elongation': 7.366925704721201}. Best is trial 19 with value: -0.5892333867630519.
[I 2026-07-27 19:58:37,653] Trial 23 finished with value: -0.5381463162504707 and parameters: {'detect_thresh': 0.4817748457362139, 'minarea': 16, 'deblend_nthresh': 23, 'deblend_cont': 7.219878360703595e-05, 'back_size': 192, 'filter_size': 3, 'dilation_radius': 1, 'max_area': 4834, 'max_elongation': 10.55827102781876}. Best is trial 19 with value: -0.5892333867630519.
[I 2026-07-27 19:58:54,798] Trial 24 finished with value: -0.6313900315305625 and parameters: {'detect_thresh': 1.3656660231678965, 'minarea': 7, 'deblend_nthresh': 15, 'deblend_cont': 2.2764932133448493e-05, 'back_size': 24, 'filter_size': 3, 'dilation_radius': 2, 'max_area': 6542, 'max_elongation': 13.493796748595479}. Best is trial 24 with value: -0.6313900315305625.
[I 2026-07-27 19:59:07,320] Trial 25 finished with value: -0.648373749863752 and parameters: {'detect_thresh': 2.32732266463433, 'minarea': 8, 'deblend_nthresh': 15, 'deblend_cont': 1.6022316358644498e-05, 'back_size': 24, 'filter_size': 3, 'dilation_radius': 3, 'max_area': 6652, 'max_elongation': 13.433224838376848}. Best is trial 25 with value: -0.648373749863752.
