name,status,png,raw_segments,kept_segments,masked_fraction,background_level,background_rms,error
NGC0600,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC0600_sep_thr2.5_area15_deb0.0001_dil2.png,297,296,0.039394260922873785,0.08503232896327972,0.014446752145886421,
NGC0672,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC0672_sep_thr2.5_area15_deb0.0001_dil2.png,1713,1710,0.08167499869331685,0.05946984142065048,0.010566022247076035,
NGC0685,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC0685_sep_thr2.5_area15_deb0.0001_dil2.png,387,386,0.0651682610445497,0.0027334964834153652,0.01728678122162819,
NGC0701,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC0701_sep_thr2.5_area15_deb0.0001_dil2.png,240,238,0.032381066828125214,0.08701013028621674,0.014501775614917278,
NGC0918,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC0918_sep_thr2.5_area15_deb0.0001_dil2.png,303,301,0.0627327553712778,0.11827230453491211,0.01560748741030693,
NGC0986,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC0986_sep_thr2.5_area15_deb0.0001_dil2.png,1376,1374,0.08044145092305828,0.01808580569922924,0.008157351985573769,
NGC0991,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC0991_sep_thr2.5_area15_deb0.0001_dil2.png,320,319,0.05370103572560203,0.05927374213933945,0.016111496835947037,
NGC1022,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC1022_sep_thr2.5_area15_deb0.0001_dil2.png,297,296,0.03874440802684907,0.08476254343986511,0.01631738618016243,
NGC1051,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC1051_sep_thr2.5_area15_deb0.0001_dil2.png,327,326,0.0357618953842425,0.06438776105642319,0.0164454597979784,
NGC1097,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC1097_sep_thr2.5_area15_deb0.0001_dil2.png,2026,2012,0.06629024306190585,0.03589945286512375,0.010190244764089584,
NGC1187,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC1187_sep_thr2.5_area15_deb0.0001_dil2.png,1094,1093,0.050892720012286896,0.04070255905389786,0.022186346352100372,
NGC1255,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC1255_sep_thr2.5_area15_deb0.0001_dil2.png,665,664,0.04371257167126778,0.035320721566677094,0.02143787033855915,
NGC1291,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC1291_sep_thr2.5_area15_deb0.0001_dil2.png,2256,2255,0.04858821248784862,0.027216216549277306,0.01053152047097683,
NGC1302,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC1302_sep_thr2.5_area15_deb0.0001_dil2.png,1008,1006,0.039911303947166334,0.035741597414016724,0.021519476547837257,
NGC1313,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC1313_sep_thr2.5_area15_deb0.0001_dil2.png,3345,3344,0.17753593270198437,0.01958443410694599,0.00896593276411295,
NGC1326A,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC1326A_sep_thr2.5_area15_deb0.0001_dil2.png,349,348,0.02824590160808613,0.00529114156961441,0.016050118952989578,
NGC1341,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC1341_sep_thr2.5_area15_deb0.0001_dil2.png,382,381,0.024455515386650205,0.006194133311510086,0.01664075069129467,
NGC1347,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC1347_sep_thr2.5_area15_deb0.0001_dil2.png,366,365,0.04656219665734414,0.05294397473335266,0.01615685038268566,
NGC1350,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC1350_sep_thr2.5_area15_deb0.0001_dil2.png,651,649,0.03132337846768184,0.025573207065463066,0.024482201784849167,
NGC1367,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC1367_sep_thr2.5_area15_deb0.0001_dil2.png,857,855,0.032224313487099754,0.04268955439329147,0.021854182705283165,
NGC1436,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC1436_sep_thr2.5_area15_deb0.0001_dil2.png,373,372,0.05608313335356786,0.007473258301615715,0.016684070229530334,
NGC1493,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC1493_sep_thr2.5_area15_deb0.0001_dil2.png,959,958,0.03427668682354863,0.016244351863861084,0.02168484963476658,
NGC1512,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC1512_sep_thr2.5_area15_deb0.0001_dil2.png,1823,1821,0.05510010890127849,0.02620576322078705,0.00961692538112402,
