name,status,segments_kept,segments_raw,masked_pixels,masked_fraction,report_png,cleaned_fits,elapsed_seconds,error
NGC0298,ok,0,0,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\NGC0298_mtobjects_optimised_report.png,,0.8334188000007998,
NGC0578,ok,0,1,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\NGC0578_mtobjects_optimised_report.png,,1.4798378999985289,
NGC0600,ok,0,0,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\NGC0600_mtobjects_optimised_report.png,,0.8587280999927316,
NGC0672,ok,0,2,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\NGC0672_mtobjects_optimised_report.png,,1.8843091000017012,
NGC0685,ok,0,0,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\NGC0685_mtobjects_optimised_report.png,,0.8891303999989759,
NGC0701,ok,0,0,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\NGC0701_mtobjects_optimised_report.png,,0.8101018999877851,
NGC0918,ok,0,0,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\NGC0918_mtobjects_optimised_report.png,,0.9265981000062311,
NGC0986,ok,0,0,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\NGC0986_mtobjects_optimised_report.png,,1.3209564999997383,
NGC0991,ok,0,0,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\NGC0991_mtobjects_optimised_report.png,,0.8329506000009133,
NGC1022,ok,0,0,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\NGC1022_mtobjects_optimised_report.png,,0.80037720000837,
NGC1051,ok,0,0,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\NGC1051_mtobjects_optimised_report.png,,0.7994271000061417,
NGC1097,ok,0,0,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\NGC1097_mtobjects_optimised_report.png,,2.2410851000022376,
NGC1187,ok,0,0,0,0.0,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\mtobjects-toy\NGC1187_mtobjects_optimised_report.png,,2.007435199993779,
