rank,name,status,pollution_score,source_score,source_count,contaminated_pixels,coverage_fraction,residual_sigma,aperture_radius_pixels,center_radius_pixels,rejected_large_segments,image_path,error
42,UGC07257,ok,31.83553638282697,31.36440913524744,5,109,0.01884508990318119,0.01563611641920678,43.20000076293945,5.040000089009602,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC07257.phot.1.fits,
43,NGC3850,ok,32.97060604881054,32.76910058651371,6,121,0.008060218491873168,0.01210981991180525,69.5999984741211,8.119999821980795,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3850.phot.1.fits,
44,IC1014,ok,33.45115541399527,33.07205093638333,7,127,0.015164179104477612,0.016300280553393606,52.0,6.0666666666666655,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC1014.phot.1.fits,
45,NGC4487,ok,36.730060812749585,36.1795025000945,8,142,0.022022332506203474,0.030611194297016336,45.599998474121094,5.319999821980794,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4487.phot.1.fits,
46,NGC4618,ok,38.39394991651532,37.83179327923411,11,176,0.022486265491248242,0.03912054352258587,50.274525390677226,5.865361295579009,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4618.phot.1.fits,
47,PGC042160,ok,38.67345370094598,38.12361192879408,9,139,0.02199367088607595,0.01426227545587956,45.20000076293945,5.273333422342936,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/PGC042160.phot.1.fits,
48,IC3521,ok,38.772404353166436,37.990440882846805,4,137,0.03127853881278539,0.023650406040743033,37.599998474121094,4.38666648864746,1,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC3521.phot.1.fits,
49,NGC1022,ok,39.46009964558814,39.177773276305246,7,160,0.01129305477131564,0.01884909475253229,67.5999984741211,7.88666648864746,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1022.phot.1.fits,
50,NGC3684,ok,41.12513511751265,40.309111378640246,8,165,0.032640949554896145,0.056098435252067265,40.400001525878906,4.7133335113525385,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3684.phot.1.fits,
51,NGC5569,ok,41.70791814393778,41.437133600612256,10,148,0.010831381733021077,0.013112522909293585,66.4000015258789,7.746666844685873,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC5569.phot.1.fits,
52,UGC02345,ok,41.8348943204841,41.71087613114967,12,144,0.004960727573377429,0.011992897053796256,96.80000305175781,11.293333689371744,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC02345.phot.1.fits,
53,PGC035705,ok,41.898744451174935,41.61970786171538,9,133,0.011161463578382007,0.012420994286472106,62.0,7.233333333333333,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/PGC035705.phot.1.fits,
54,NGC1559,ok,43.05614933216272,42.31932408788913,8,184,0.029473009770943456,0.15665290379574798,44.87920859965728,5.2359076699600156,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1559.phot.1.fits,
