name,status,segments_kept,segments_raw,masked_pixels,masked_fraction,report_png,cleaned_fits,elapsed_seconds,error
NGC0255,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC0255_mtobjects_optimised_report.png,,1.1317195999945397,
NGC0289,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC0289_mtobjects_optimised_report.png,,2.2949485999997705,
NGC0298,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC0298_mtobjects_optimised_report.png,,0.855220500001451,
NGC0578,ok,0,1,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC0578_mtobjects_optimised_report.png,,1.4540296000050148,
NGC0600,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC0600_mtobjects_optimised_report.png,,0.8637168999994174,
NGC0672,ok,0,2,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC0672_mtobjects_optimised_report.png,,1.8574445000049309,
NGC0685,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC0685_mtobjects_optimised_report.png,,0.899820800004818,
NGC0701,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC0701_mtobjects_optimised_report.png,,0.8006523000003654,
NGC0918,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC0918_mtobjects_optimised_report.png,,0.938549200000125,
NGC0986,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC0986_mtobjects_optimised_report.png,,1.3154524999990826,
NGC0991,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC0991_mtobjects_optimised_report.png,,0.8055604999972275,
NGC1022,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC1022_mtobjects_optimised_report.png,,0.791921199997887,
NGC1051,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC1051_mtobjects_optimised_report.png,,0.8091866999966442,
NGC1097,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC1097_mtobjects_optimised_report.png,,2.2350318000026164,
NGC1187,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC1187_mtobjects_optimised_report.png,,2.032585500004643,
NGC1255,ok,0,0,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC1255_mtobjects_optimised_report.png,,1.3860952999966685,
NGC1291,ok,0,1,0,0.0,Foreground Masking\Azure\mean-parameter-4sets\full-batches\mtobjects-spike\NGC1291_mtobjects_optimised_report.png,,2.7537512999988394,
