"i_scrambled","i_orig","name","image_exists","image_path","image_naxis1","image_naxis2","pixel_scale_arcsec_x","pixel_scale_arcsec_y","crpix1","crpix2","crval1_deg","crval2_deg","image_pa_axis2_deg","center_x_pix","center_y_pix","disk_pa_deg","salo_disk_ellipticity","salo_disk_Rmin_pix","salo_disk_Rmax_pix","inclination_deg","bar_pa_deg","bar_sma_arcsec","herrera_bar_ellipticity","herrera_bar_sma_ell_arcsec","bar_sma_kpc","bar_sma_deproj_kpc","bar_sma_deproj_legacy_kpc","bar_sma_deproj_ellipticity_based_kpc","bar_sma_deproj_source","bar_ellipticity_deproj","bar_strength","bar_A2","bar_A4","logmstar","dist_mpc","R25_arcsec","R25_kpc","Re_arcsec","Re_kpc","disk_scale_length_h_kpc","V_rot","t_s4g","t_leda","catalog_sources","geometry_notes"
"129","120","UGC06983","True","D:\Dropbox\Public Documents\UCLAN\MSc Research\Remove foreground objects\Azure Optimisation outputs\azure_mtobjects_182_bundle\mtobjects-182\images\UGC06983.phot.1.fits","1238","1469","-0.75","0.75","676.0","765.0","179.78925","52.70754","0.0","674.0499877929688","765.0800170898438","87.0","0.3370000123977661","82","97","49.8231244322896","88","24.0","0.7099999785423279","29.200000762939453","2.3503745182168565","2.3508765158832925","2.3503745182168565","2.8651307537327626","s4gbars_table.dat sma_dp_kpc2","0.559","1.0","0.4620000123977661","0.146","9.409001007202892","20.2","57.16382153889742","5.598182896205017","118.69","11.62358131529828","3.522917605992291","100.07113721347646","5.9","6.0","Herrera-Endoqui+2015 table2; Salo+2015 galaxies; Diaz-Garcia+2016 tablea3; local s4gbars_table.dat","Erwin et al. manual revisions are not represented unless present in local project data"
"130","158","NGC4314","True","D:\Dropbox\Public Documents\UCLAN\MSc Research\Remove foreground objects\Azure Optimisation outputs\azure_mtobjects_182_bundle\mtobjects-182\images\NGC4314.phot.1.fits","1141","1035","-1.22334117768332","1.22328355209902","339.0","705.0","185.633292","29.895361","0.0","338.6099853515625","705.3599853515625","51.599998474121094","0.06300000101327896","142","157","20.88741435657025","146","72.5999984741211","0.6399999856948853","67.9000015258789","3.414151698058322","3.652934864891264","3.6398807359464764","3.4189658962721956","s4gbars_table.dat sma_dp_kpc2","0.662","1.0","0.8960000276565552","0.574","10.140001801438192","9.7","110.94845393407988","5.217559950357912","57.24","2.6918187768162314","2.201704603301578","198.3267835944906","1.0","1.0","Herrera-Endoqui+2015 table2; Salo+2015 galaxies; Diaz-Garcia+2016 tablea3; local s4gbars_table.dat","Erwin et al. manual revisions are not represented unless present in local project data"
"131","180","UGC09661","True","D:\Dropbox\Public Documents\UCLAN\MSc Research\Remove foreground objects\Azure Optimisation outputs\azure_mtobjects_182_bundle\mtobjects-182\images\UGC09661.phot.1.fits","786","1081","-0.75","0.75","280.0","798.0","225.51495","1.84083","0.0","280.92999267578125","800.530029296875","81.80000305175781","0.06599999964237213","38","42","21.38544374999229","150","9.800000190734863","0.6800000071525574","7.900000095367432","0.8195767580539597","0.8720709425690388","0.8697549269144061","0.7007712931358347","s4gbars_table.dat sma_dp_kpc2","0.699","1.0","0.43700000643730164","0.197","9.17999966014305","17.25","31.269522881799123","2.615078998914187","21.61","1.8072503817904149","1.0554141516980582","108.79216372357106","8.0","8.0","Herrera-Endoqui+2015 table2; Salo+2015 galaxies; Diaz-Garcia+2016 tablea3; local s4gbars_table.dat","Erwin et al. manual revisions are not represented unless present in local project data"
"132","78","NGC4449","True","D:\Dropbox\Public Documents\UCLAN\MSc Research\Remove foreground objects\Azure Optimisation outputs\azure_mtobjects_182_bundle\mtobjects-182\images\NGC4449.phot.1.fits","1150","1027","-1.22334117768332","1.22328355209902","357.0","686.0","187.0455","44.0925","0.0","354.1000061035156","691.3599853515625","71.0","0.2939999997615814","225","247","46.287439758968524","46","42.20000076293945","0.7599999904632568","30.299999237060547","0.7555552323467384","0.826084446492014","0.8218005963202675","0.593136462765593","s4gbars_table.dat sma_dp_kpc2","0.71","2.0","0.5130000114440918","0.253","9.278000937595156","3.693","139.67582805688767","2.5007773156574604","75.25","1.3472874700021815","0.7767537488182676","72.49427732912554","9.8","9.8","Herrera-Endoqui+2015 table2; Salo+2015 galaxies; Diaz-Garcia+2016 tablea3; local s4gbars_table.dat","Erwin et al. manual revisions are not represented unless present in local project data"
"133","73","NGC4293","True","D:\Dropbox\Public Documents\UCLAN\MSc Research\Remove foreground objects\Azure Optimisation outputs\azure_mtobjects_182_bundle\mtobjects-182\images\NGC4293.phot.1.fits","1302","1479","-1.22334117768332","1.22328355209902","527.0","987.0","185.30325","18.3825","0.0","526.030029296875","987.3599853515625","64.0","0.5320000052452087","187","262","64.41579241190023","75","78.0999984741211","0.75","70.5999984741211","5.422112331224396","5.836840139813911","5.908089108670884","5.280060894722828","s4gbars_table.dat sma_dp_kpc2","0.543","1.0","0.6919999718666077","0.282","10.417999499945902","14.32","187.12045064472574","12.990884799808367","86.81","6.02680629287567","3.4795937265168595","120.05078927645711","0.3","0.3","Herrera-Endoqui+2015 table2; Salo+2015 galaxies; Diaz-Garcia+2016 tablea3; local s4gbars_table.dat","Erwin et al. manual revisions are not represented unless present in local project data"
"134","18","IC1953","True","D:\Dropbox\Public Documents\UCLAN\MSc Research\Remove foreground objects\Azure Optimisation outputs\azure_mtobjects_182_bundle\mtobjects-182\images\IC1953.phot.1.fits","693","1029","-1.22334117768332","1.22328355209902","304.0","194.0","53.42445","-21.47861","0.0","304.70001220703125","193.8300018310547","122.30000305175781","0.33399999141693115","82","105","49.58192493463311","155","17.100000381469727","0.7400000095367432","22.700000762939453","2.0427314377136208","2.419090162019454","2.424996969917339","3.2148435047890107","s4gbars_table.dat sma_dp_kpc2","0.729","1.0","0.5379999876022339","0.15","10.14900038113244","24.64","67.93932922779179","8.11589495150796","46.65","5.5727147116573335","3.8537143965287366","112.63127834161564","6.2","6.2","Herrera-Endoqui+2015 table2; Salo+2015 galaxies; Diaz-Garcia+2016 tablea3; local s4gbars_table.dat","Erwin et al. manual revisions are not represented unless present in local project data"
"135","162","NGC4540","True","D:\Dropbox\Public Documents\UCLAN\MSc Research\Remove foreground objects\Azure Optimisation outputs\azure_mtobjects_182_bundle\mtobjects-182\images\NGC4540.phot.1.fits","1027","1564","-0.75","0.75","489.0","774.0","188.71215","15.55157","0.0","490.0","774.739990234375","56.0","0.04899999871850014","82","120","18.395023507610087","62","18.100000381469727","0.550000011920929","17.899999618530273","1.4742200567231476","1.4751105043892876","1.4742200567231476","1.4608483862529267","s4gbars_table.dat sma_dp_kpc2","0.528","2.0","0.3109999895095825","0.094","9.87699967963046","16.8","65.78414806051344","5.358028203605197","27.53","2.2422805614137156","1.2442905970474873","153.24814772218332","6.2","6.2","Herrera-Endoqui+2015 table2; Salo+2015 galaxies; Diaz-Garcia+2016 tablea3; local s4gbars_table.dat","Erwin et al. manual revisions are not represented unless present in local project data"
"136","138","NGC0991","True","D:\Dropbox\Public Documents\UCLAN\MSc Research\Remove foreground objects\Azure Optimisation outputs\azure_mtobjects_182_bundle\mtobjects-182\images\NGC0991.phot.1.fits","768","1052","-0.75","0.75","276.0","276.0","38.8857","-7.15521","0.0","273.9599914550781","280.1300048828125","118.30000305175781","0.05400000140070915","67","75","19.320446482831315","78","17.0","","","1.549463069352532","1.588801081592223","","","s4gbars_table.dat sma_dp_kpc2","","2.0","0.19900000095367432","0.08","9.679999907518468","18.8","44.37325164504622","4.044394981828565","41.01","3.737851792596902","2.210901510193198","101.61668611220165","5.0","5.2","Herrera-Endoqui+2015 table2; Salo+2015 galaxies; Diaz-Garcia+2016 tablea3; local s4gbars_table.dat","Legacy local sma_dp_kpc value is missing or non-positive; Erwin et al. manual revisions are not represented unless present in local project data"
"137","31","NGC0685","True","D:\Dropbox\Public Documents\UCLAN\MSc Research\Remove foreground objects\Azure Optimisation outputs\azure_mtobjects_182_bundle\mtobjects-182\images\NGC0685.phot.1.fits","873","1073","-0.75","0.75","449.0","277.0","26.9301","-52.76194","0.0","453.7900085449219","276.82000732421875","99.19999694824219","0.22599999606609344","120","135","40.2588861532241","55","19.899999618530273","0.7200000286102295","19.100000381469727","1.4664630451118705","1.7029594766983438","1.687537876033258","1.6366381905455187","s4gbars_table.dat sma_dp_kpc2","0.724","1.0","0.4399999976158142","0.147","9.852999976772018","15.2","90.39018072558366","6.66099797362069","69.57","5.126725329066976","2.842801250818122","114.04390431768473","5.4","5.4","Herrera-Endoqui+2015 table2; Salo+2015 galaxies; Diaz-Garcia+2016 tablea3; local s4gbars_table.dat","Erwin et al. manual revisions are not represented unless present in local project data"
"138","76","NGC4405","True","D:\Dropbox\Public Documents\UCLAN\MSc Research\Remove foreground objects\Azure Optimisation outputs\azure_mtobjects_182_bundle\mtobjects-182\images\NGC4405.phot.1.fits","896","1326","-1.22334117768332","1.22328355209902","530.0","387.0","186.52965","16.18097","0.0","529.4199829101562","387.4700012207031","18.899999618530273","0.23899999260902405","63","75","41.46249216237809","179","8.600000381469727","0.6000000238418579","10.100000381469727","1.0082011005260223","1.0528090370888135","1.055094174969093","1.2394990116888647","s4gbars_table.dat sma_dp_kpc2","0.487","2.0","0.21899999678134918","0.084","10.239001496264924","24.181","50.36412054367682","5.904321134786072","20.56","2.410304026373839","1.339266206094102","90.90365206125362","-0.1","0.3","Herrera-Endoqui+2015 table2; Salo+2015 galaxies; Diaz-Garcia+2016 tablea3; local s4gbars_table.dat","Erwin et al. manual revisions are not represented unless present in local project data"
