designation,parallax,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
Gaia DR3 64818203322590208,7.738056145401186,0.7191,0.6976,0.7413,Gaia DR3 64818203322590208,55.864443508802935,22.627943816680016,7.7381,21.2886,-48.1576,0.0,2016.0,0.0
Gaia DR3 64822017259193600,7.292826529552445,0.5171,0.4226,0.5699,Gaia DR3 64822017259193600,56.10669430950937,22.668738732908064,7.2928,19.3872,-43.8413,0.0,2016.0,7.457195290529099E-15
Gaia DR3 64840541448791424,7.563829913298237,0.5852,0.5687,0.6044,Gaia DR3 64840541448791424,55.829295125583606,22.78609278822735,7.5638,20.6445,-46.4014,0.0,2016.0,0.0
Gaia DR3 64843805623922688,7.5264024127197535,0.7434,0.728,0.7613,Gaia DR3 64843805623922688,55.85491728898192,22.895492287024965,7.5264,20.2224,-46.1596,0.0,2016.0,0.0
Gaia DR3 64856312568645248,7.602128024288136,0.4251,0.4219,0.4289,Gaia DR3 64856312568645248,56.52195568292751,22.981419243413214,7.6021,20.5143,-47.9105,7.0537,2016.0,1.3082960739245633E-14
Gaia DR3 64857721317916032,7.389054111887702,0.7039,0.6938,0.715,Gaia DR3 64857721317916032,56.48745217516747,23.024581569648877,7.3891,20.8386,-46.3102,0.0,2016.0,3.552713678800501E-15
Gaia DR3 64870296982175488,7.34148627265026,0.5198,0.5127,0.5251,Gaia DR3 64870296982175488,56.03679639519022,23.079705895594124,7.3415,21.6344,-45.1525,18.0357,2016.0,6.536711829674358E-15
Gaia DR3 64871740091177600,7.3307637033988735,0.7444,0.7343,0.7549,Gaia DR3 64871740091177600,56.2951245214628,23.049309323098104,7.3308,19.7044,-45.5956,0.0,2016.0,0.0
Gaia DR3 64874454510493440,7.391450378010349,0.7076,0.6914,0.7239,Gaia DR3 64874454510493440,56.39167613726047,23.18501072439178,7.3915,19.8674,-45.2808,0.0,2016.0,6.531581446830052E-15
Gaia DR3 64879402312818944,7.394624876379964,0.0116,0.0057,0.0175,Gaia DR3 64879402312818944,56.21358052689102,23.26872443224326,7.3946,20.5459,-44.3003,6.5466,2016.0,3.552713678800501E-15
Gaia DR3 64884624994048256,7.307114829720655,0.6416,0.618,0.6522,Gaia DR3 64884624994048256,56.89500778235771,22.801125159997,7.3071,20.0638,-44.5527,0.0,2016.0,6.550177584172959E-15
Gaia DR3 64889126119831040,7.617353781069092,0.5645,0.5579,0.5701,Gaia DR3 64889126119831040,57.094462930924884,22.872477336102378,7.6174,20.5391,-46.7477,0.0,2016.0,0.0
Gaia DR3 64891634380723712,7.479338623504139,0.4723,0.4639,0.4812,Gaia DR3 64891634380723712,57.25428791296075,22.980211869536916,7.4793,19.7826,-45.893,-4.5364,2016.0,7.444024766079783E-15
Gaia DR3 64895139073954944,7.309302082629353,0.3542,0.3466,0.3616,Gaia DR3 64895139073954944,57.02435006099223,23.0339500921625,7.3093,19.2931,-44.9978,-93.6464,2016.0,0.0
Gaia DR3 64896101146708224,7.768417354430479,0.693,0.6737,0.7113,Gaia DR3 64896101146708224,57.21119391554984,23.07486184165542,7.7684,20.9508,-48.3335,0.0,2016.0,7.439990218883768E-15
Gaia DR3 64899017426872960,7.188082380653626,0.2426,0.2334,0.246,Gaia DR3 64899017426872960,56.696182198354265,22.91437971648443,7.1881,18.7582,-45.0017,5.7263,2016.0,7.105427357601002E-15
Gaia DR3 64900739711320960,7.46137150586521,0.805,0.7854,0.8255,Gaia DR3 64900739711320960,56.91586191032635,23.00110222643323,7.4614,18.6861,-45.0064,0.0,2016.0,6.5405269580743585E-15
Gaia DR3 64905618794174720,7.2387256119114145,0.4897,0.4808,0.5031,Gaia DR3 64905618794174720,56.703355129215566,23.06855140288392,7.2387,20.8408,-45.2959,23.8482,2016.0,9.655194844467869E-15
Gaia DR3 64909153549943296,7.440941514656794,0.6933,0.6749,0.7112,Gaia DR3 64909153549943296,57.099724735801715,23.135471631187595,7.4409,18.0264,-46.2766,0.0,2016.0,7.437398775068935E-15
Gaia DR3 64912009705490304,7.346863076857361,0.6097,0.6009,0.6173,Gaia DR3 64912009705490304,56.849467055307045,23.149004829363466,7.3469,19.4453,-45.5403,0.0,2016.0,6.5333381137534405E-15
Gaia DR3 64913452814489216,7.411184638689342,0.1126,0.1081,0.118,Gaia DR3 64913452814489216,56.950586430184785,23.21788377589549,7.4112,20.0537,-45.8475,7.9138,2016.0,1.3059950747037552E-14
Gaia DR3 64915754917051520,7.539613373579104,0.623,0.6085,0.6386,Gaia DR3 64915754917051520,57.35676779986823,23.047107208330427,7.5396,21.6383,-46.6704,0.0,2016.0,7.105427357601002E-15
Gaia DR3 64916751349465856,7.38945455734106,0.5642,0.5573,0.5704,Gaia DR3 64916751349465856,57.24294597152945,23.09402124719942,7.3895,20.627,-46.7777,0.0,2016.0,3.552713678800501E-15
Gaia DR3 64917094946846848,7.430479853340606,0.6762,0.6677,0.6841,Gaia DR3 64917094946846848,57.27475569260817,23.105917656349703,7.4305,18.8932,-46.5833,0.0,2016.0,6.535436873088748E-15
Gaia DR3 64922283267331968,7.450991731973961,0.3913,0.3794,0.3997,Gaia DR3 64922283267331968,57.3013765497648,23.228140474524007,7.451,19.7294,-46.0451,7.5896,2016.0,0.0
Gaia DR3 64923279699744256,7.266831729278644,0.147,0.1331,0.1539,Gaia DR3 64923279699744256,57.25981898022836,23.25223911265763,7.2668,19.731,-44.4282,5.032,2016.0,3.552713678800501E-15
Gaia DR3 64924413571101952,6.921465300774905,0.1334,0.1244,0.1429,Gaia DR3 64924413571101952,57.485491827507374,23.21843142395095,6.9215,18.9213,-43.2005,6.6295,2016.0,0.0
Gaia DR3 64927368508592512,7.370344183553121,0.608,0.5881,0.6291,Gaia DR3 64927368508592512,57.52090986726331,23.304637841703407,7.3703,19.0199,-46.8527,0.0,2016.0,3.552713678800501E-15
Gaia DR3 64928674178659968,7.354278323471858,0.708,0.6782,0.7277,Gaia DR3 64928674178659968,57.38409775234471,23.271498869578785,7.3543,20.455,-44.87,0.0,2016.0,3.552713678800501E-15
Gaia DR3 64929391436043264,7.3159120319680895,0.0427,0.0362,0.0497,Gaia DR3 64929391436043264,57.42060476339698,23.341369648361887,7.3159,18.7331,-45.1335,5.7319,2016.0,1.957176913631225E-14
Gaia DR3 64930495244783616,7.231276897025075,0.068,0.0624,0.0734,Gaia DR3 64930495244783616,57.38645295572227,23.380204240051093,7.2313,20.3465,-44.3013,5.7747,2016.0,7.426872381389693E-15
Gaia DR3 64933759417769984,7.318904571155356,0.0626,0.0572,0.0679,Gaia DR3 64933759417769984,57.18299036630866,23.2596150203104,7.3189,19.2937,-44.885,7.6396,2016.0,6.5279334205596334E-15
Gaia DR3 64934893291213952,7.461381901990386,0.5725,0.4749,0.5923,Gaia DR3 64934893291213952,57.11688600086402,23.300556775545953,7.4614,20.3987,-45.4575,4.5226,2016.0,0.0
Gaia DR3 64936508198907904,7.447798847561577,0.1843,0.1807,0.1884,Gaia DR3 64936508198907904,57.18936995061114,23.33871256339361,7.4478,18.9828,-45.7643,7.5472,2016.0,3.552713678800501E-15
Gaia DR3 64940906245415808,7.690936370750085,,,,Gaia DR3 64940906245415808,57.0868319876062,23.421039463726608,7.6909,19.695,-47.113,0.0,2016.0,3.552713678800501E-15
Gaia DR3 64941211186036352,7.380077777631508,0.0684,0.0591,0.0754,Gaia DR3 64941211186036352,57.14388698332008,23.434590988620933,7.3801,19.3717,-45.0776,6.4533,2016.0,6.519333977063654E-15
Gaia DR3 64942001460286080,7.436806910305677,0.6435,0.6289,0.6578,Gaia DR3 64942001460286080,57.315180555656895,23.38016998746235,7.4368,20.1604,-46.2238,0.0,2016.0,7.105427357601002E-15
Gaia DR3 64946025846426752,7.362773276027829,0.6505,0.6372,0.6676,Gaia DR3 64946025846426752,57.2033347873996,23.41318138675708,7.3628,19.2005,-47.0248,0.0,2016.0,6.520389448713609E-15
Gaia DR3 64950488315122560,6.911630589111497,0.5796,0.5596,0.6063,Gaia DR3 64950488315122560,56.62930786525851,23.026152243084212,6.9116,18.4029,-44.5556,0.0,2016.0,1.4884136781413972E-14
Gaia DR3 64951111087777536,7.834199597535483,0.636,0.6119,0.6546,Gaia DR3 64951111087777536,56.650363065254425,23.071293292300773,7.8342,20.9709,-46.88,0.0,2016.0,6.5371207340217485E-15
Gaia DR3 64952068862923520,7.082300122602656,0.5877,0.5565,0.6186,Gaia DR3 64952068862923520,56.58921758662981,23.08569959940112,7.0823,18.171,-45.3603,0.0,2016.0,3.552713678800501E-15
Gaia DR3 64952829074688896,7.391158486799486,0.0135,0.0063,0.0211,Gaia DR3 64952829074688896,56.66674719150831,23.110124081170717,7.3912,19.2627,-46.762,4.9636,2016.0,3.552713678800501E-15
Gaia DR3 64953481907702016,7.32274074739589,,,,Gaia DR3 64953481907702016,56.70238253867373,23.165858638751683,7.3227,17.8393,-48.7364,0.0,2016.0,1.306503233192089E-14
Gaia DR3 64956127609464320,7.4211396976655095,0.1076,0.1049,0.1097,Gaia DR3 64956127609464320,56.45349543711508,23.14694333291917,7.4211,20.5139,-45.6998,7.8137,2016.0,7.105427357601002E-15
Gaia DR3 64959662365552384,7.309612988988913,0.4043,0.0615,0.7044,Gaia DR3 64959662365552384,56.78069149429426,23.226156744121546,7.3096,19.2952,-45.4385,-21.7441,2016.0,3.552713678800501E-15
Gaia DR3 64960663095015680,7.384762820159983,0.461,0.4547,0.4684,Gaia DR3 64960663095015680,56.73798824228322,23.25047049143303,7.3848,20.416,-46.0552,0.0,2016.0,3.552713678800501E-15
Gaia DR3 64962174923490304,7.339722266111578,0.5966,0.5846,0.6091,Gaia DR3 64962174923490304,56.88419556070245,23.30633191106529,7.3397,20.729,-45.4316,0.0,2016.0,1.3051286813020591E-14
Gaia DR3 64963377514329984,7.456198708615304,0.6019,0.5909,0.6122,Gaia DR3 64963377514329984,56.84184912038183,23.359958000577215,7.4562,21.312,-44.5013,0.0,2016.0,3.552713678800501E-15
Gaia DR3 64964717544035200,7.4331628168469965,0.4489,0.443,0.4547,Gaia DR3 64964717544035200,56.63706230536038,23.305130986179122,7.4332,20.5393,-45.0448,30.0611,2016.0,3.552713678800501E-15
Gaia DR3 64966916567283456,7.294694239567216,0.6511,0.633,0.674,Gaia DR3 64966916567283456,56.73054111544866,23.380212988770477,7.2947,18.8584,-45.6689,0.0,2016.0,1.4853744006602834E-14
Gaia DR3 64967569402404480,7.069719258509363,0.8035,0.7892,0.8158,Gaia DR3 64967569402404480,56.81416804545098,23.43481220068229,7.0697,20.6075,-46.1919,0.0,2016.0,9.643063371316187E-15
Gaia DR3 64967603762044928,7.306142286619532,0.6199,0.6065,0.6393,Gaia DR3 64967603762044928,56.78974161914069,23.43215484093026,7.3061,20.7431,-43.8956,0.0,2016.0,6.519454122572209E-15
Gaia DR3 64971933089093760,7.388568334356815,0.1808,0.1751,0.1874,Gaia DR3 64971933089093760,56.534933945361814,23.3473212122962,7.3886,19.5429,-45.2469,6.7316,2016.0,0.0
Gaia DR3 64974338270788864,7.400842842890291,0.6466,0.6366,0.6568,Gaia DR3 64974338270788864,56.30068677483327,23.36456659754402,7.4008,20.3499,-45.8412,0.0,2016.0,6.52278272749317E-15
Gaia DR3 64974574492213248,7.492486097833367,0.5836,0.5679,0.6014,Gaia DR3 64974574492213248,56.42870174000814,23.336589161292384,7.4925,21.4061,-45.0523,0.0,2016.0,3.552713678800501E-15
Gaia DR3 64977705525131904,7.223361814603207,0.3548,0.3487,0.3591,Gaia DR3 64977705525131904,56.64730542253091,23.41153106180494,7.2234,20.297,-44.8311,-13.4423,2016.0,6.520470770266986E-15
Gaia DR3 64979732749686016,7.386528543828836,0.0651,0.0496,0.0763,Gaia DR3 64979732749686016,56.75601002050891,23.494741451278703,7.3865,19.0719,-45.0234,4.5174,2016.0,0.0
Gaia DR3 64980832261312640,7.435614097188134,0.6065,0.59,0.6218,Gaia DR3 64980832261312640,56.70879817515686,23.53208141913091,7.4356,20.8795,-45.0218,0.0,2016.0,0.0
Gaia DR3 64981137202021376,7.349143996550216,0.762,0.755,0.7673,Gaia DR3 64981137202021376,56.51728508779695,23.40531966531974,7.3491,19.0139,-45.4624,5.2607,2016.0,0.0
Gaia DR3 64981863053470592,7.150415256448715,1.1729,1.1525,1.1916,Gaia DR3 64981863053470592,56.593679900426444,23.485427897777026,7.1504,19.8592,-44.83,0.0,2016.0,6.516824122390506E-15
Gaia DR3 64982344089813248,7.216786495064386,,,,Gaia DR3 64982344089813248,56.46988426929079,23.46487435939193,7.2168,20.0036,-46.2464,0.0,2016.0,6.517839483241381E-15
Gaia DR3 64984951133439232,7.280859159894756,0.7406,0.7254,0.7526,Gaia DR3 64984951133439232,56.552852464053856,23.587012648241203,7.2809,20.8588,-44.7362,0.0,2016.0,0.0
Gaia DR3 64986325522809728,7.452761101984951,0.5754,0.545,0.6052,Gaia DR3 64986325522809728,57.02080880346131,23.40357707910696,7.4528,19.8448,-47.1386,0.0,2016.0,1.3041725271059378E-14
Gaia DR3 64987876007763968,7.353462097116693,0.6265,0.6086,0.6439,Gaia DR3 64987876007763968,57.063558497159214,23.434685520365303,7.3535,18.6768,-45.7665,0.0,2016.0,1.351400730127513E-14
Gaia DR3 64988322684358144,7.509023760722854,0.6975,0.6848,0.7088,Gaia DR3 64988322684358144,57.09464904982035,23.461746193162426,7.509,20.5861,-45.1424,0.0,2016.0,0.0
Gaia DR3 64988803720689408,7.206584546538967,0.6709,0.6557,0.6864,Gaia DR3 64988803720689408,57.085813664095504,23.51687667697139,7.2066,19.3796,-44.936,0.0,2016.0,7.105427357601002E-15
Gaia DR3 64989490915460608,7.318953310037485,0.3715,0.3598,0.3863,Gaia DR3 64989490915460608,57.04583326091851,23.506811183809983,7.319,19.7071,-44.5396,-6.0419,2016.0,6.515766881276125E-15
Gaia DR3 64990349908937984,7.190891560508792,0.6998,0.686,0.7127,Gaia DR3 64990349908937984,56.86723342159842,23.44802253199141,7.1909,20.0334,-44.3604,-10.9142,2016.0,6.5186713509218404E-15
Gaia DR3 64990586130069504,7.272149432844637,,,,Gaia DR3 64990586130069504,56.9084671444444,23.46784903102607,7.2721,21.2216,-44.8669,5.6912,2016.0,6.5176925840468824E-15
Gaia DR3 64990792288875264,7.548538567542814,0.6324,0.6167,0.648,Gaia DR3 64990792288875264,56.900223814089344,23.47393838707442,7.5485,19.3025,-46.0868,0.0,2016.0,6.517391816569577E-15
Gaia DR3 64993579724240896,7.072160110962179,0.6158,0.5198,0.6818,Gaia DR3 64993579724240896,56.87476663930159,23.554023397560623,7.0722,18.6508,-45.2453,0.0,2016.0,6.5134293820769555E-15
Gaia DR3 64997187496822912,7.406563177256344,0.5483,0.5341,0.5627,Gaia DR3 64997187496822912,57.254848933906466,23.637477098863307,7.4066,19.6478,-45.6111,0.0,2016.0,0.0
Gaia DR3 64998905483757568,7.327464562394925,0.4876,0.4823,0.4937,Gaia DR3 64998905483757568,57.082701624279416,23.603137970026417,7.3275,20.8079,-44.449,0.0,2016.0,0.0
Gaia DR3 64999558318784768,7.437404133116667,0.604,0.5959,0.6121,Gaia DR3 64999558318784768,57.057450573687056,23.632990088333862,7.4374,20.1218,-45.9777,0.0,2016.0,0.0
Gaia DR3 64999588381514496,7.19439797679517,0.0375,0.027,0.0474,Gaia DR3 64999588381514496,57.07052147815302,23.63658449525568,7.1944,18.2915,-44.7573,6.4603,2016.0,7.105427357601002E-15
Gaia DR3 65000863988835200,7.548655100367121,0.6582,0.6403,0.6801,Gaia DR3 65000863988835200,57.03735109356826,23.706329978281527,7.5487,20.9354,-47.2767,0.0,2016.0,7.105427357601002E-15
Gaia DR3 65004437401569664,7.355182666949437,0.5959,0.5823,0.6113,Gaia DR3 65004437401569664,56.74245105010891,23.56061715976777,7.3552,20.1632,-46.0092,0.0,2016.0,9.63885901019735E-15
Gaia DR3 65004712279475712,7.497436461447746,0.0301,0.0245,0.039,Gaia DR3 65004712279475712,56.72404434206554,23.58335393181007,7.4974,20.7961,-45.1538,5.7204,2016.0,0.0
Gaia DR3 65007083101413888,7.472988365635405,0.4346,0.4327,0.4368,Gaia DR3 65007083101413888,56.861890197773505,23.678126852419382,7.473,21.7239,-45.7097,4.438,2016.0,3.552713678800501E-15
Gaia DR3 65008010814357248,7.331377767684079,0.9203,0.8871,0.939,Gaia DR3 65008010814357248,56.68002306054683,23.62260295725321,7.3314,19.033,-44.734,0.0,2016.0,7.416347772325241E-15
Gaia DR3 65010239900405504,7.3503939491290735,0.1498,0.14,0.1566,Gaia DR3 65010239900405504,56.77834370556732,23.71495241087836,7.3504,19.4256,-44.4091,8.5283,2016.0,0.0
Gaia DR3 65010519075247616,7.481431550014758,,,,Gaia DR3 65010519075247616,56.84458758907592,23.73506530393574,7.4814,20.2209,-45.792,0.0,2016.0,7.411431585836871E-15
Gaia DR3 65010549138050944,7.417636325472424,0.1687,0.1468,0.187,Gaia DR3 65010549138050944,56.80648230098543,23.714085620776036,7.4176,19.7305,-45.6089,5.9297,2016.0,7.412350288686071E-15
Gaia DR3 65011476851589632,7.356181567875133,0.4158,0.3938,0.4351,Gaia DR3 65011476851589632,56.77419713239273,23.759491175687398,7.3562,18.9917,-44.5251,0.0,2016.0,1.3482895841262765E-14
Gaia DR3 65011481147922560,7.141353557340774,0.8176,0.7894,0.8446,Gaia DR3 65011481147922560,56.77549159808858,23.755443467081154,7.1414,18.2655,-43.5552,0.0,2016.0,6.503407316430608E-15
Gaia DR3 65011962184337664,7.8091896514290235,,,,Gaia DR3 65011962184337664,56.96658486416223,23.66317575454774,7.8092,20.6139,-47.0696,0.0,2016.0,7.414576595803343E-15
Gaia DR3 65012408860856832,7.252925571892042,0.6021,0.5936,0.6112,Gaia DR3 65012408860856832,56.93613786706123,23.700704540102134,7.2529,20.3282,-45.2163,0.0,2016.0,1.3488556229135278E-14
Gaia DR3 65013474012743936,7.415330238219003,0.1551,0.1478,0.1618,Gaia DR3 65013474012743936,56.92168447899226,23.740085880970906,7.4153,19.3897,-44.4198,-11.591,2016.0,0.0
Gaia DR3 65014195567317504,7.607866490051984,0.6131,0.6064,0.6189,Gaia DR3 65014195567317504,57.03323531524461,23.739708845865792,7.6079,19.4797,-46.6479,0.0,2016.0,6.504193120159363E-15
Gaia DR3 65014985841292032,7.160999926269235,,,,Gaia DR3 65014985841292032,57.07240387537331,23.806397361704857,7.161,19.8363,-43.4293,0.0,2016.0,1.3001718518329972E-14
Gaia DR3 65017627244152064,7.312944753255134,0.1591,0.1561,0.1622,Gaia DR3 65017627244152064,56.837462886443596,23.803141100251725,7.3129,19.0957,-45.5198,4.2349,2016.0,0.0
Gaia DR3 65018417518780672,7.33883323931341,0.6213,0.6085,0.6347,Gaia DR3 65018417518780672,56.881922360095274,23.87181815563443,7.3388,19.2726,-46.3566,0.0,2016.0,0.0
Gaia DR3 65019246448775424,7.392645465941637,0.6529,0.6359,0.6707,Gaia DR3 65019246448775424,57.02449569519243,23.883443039373205,7.3926,20.1811,-43.4664,0.0,2016.0,0.0
Gaia DR3 65019963707009024,7.581643669811054,,,,Gaia DR3 65019963707009024,56.87336883957524,23.88023184346377,7.5816,20.5626,-45.8092,0.0,2016.0,7.40505469920724E-15
Gaia DR3 65020414679879296,7.376293478669214,0.0726,0.057,0.0841,Gaia DR3 65020414679879296,56.96895425474899,23.94102406851244,7.3763,19.6846,-46.3938,5.6099,2016.0,7.402373828967598E-15
Gaia DR3 65023232178029440,7.2107244103887105,0.4812,0.4722,0.49,Gaia DR3 65023232178029440,55.62266700134463,22.790383366074938,7.2107,20.444,-43.6156,-7.0555,2016.0,6.550693711668822E-15
Gaia DR3 65026839950559744,7.414311257263757,,,,Gaia DR3 65026839950559744,55.44629077538256,22.856829510979935,7.4143,21.0388,-45.9109,4.1454,2016.0,1.3094994758607813E-14
Gaia DR3 65027595864800000,7.451380363496461,0.0525,0.0408,0.0659,Gaia DR3 65027595864800000,55.519783485203185,22.858358168943482,7.4514,20.9567,-44.6879,5.3832,2016.0,0.0
Gaia DR3 65027905102436608,7.3911225554567395,0.4347,0.4309,0.4384,Gaia DR3 65027905102436608,55.60962925402735,22.894458319172863,7.3911,20.9312,-44.4955,5.4798,2016.0,0.0
Gaia DR3 65029550073165184,7.423268314851199,0.7916,0.7482,0.8263,Gaia DR3 65029550073165184,55.73566057860892,22.854833974276563,7.4233,19.8692,-43.8527,0.0,2016.0,7.449345953778855E-15
Gaia DR3 65032745528876032,7.2612712023034405,,,,Gaia DR3 65032745528876032,55.84406564335385,23.01552842209953,7.2613,21.3636,-46.7439,0.0,2016.0,3.552713678800501E-15
Gaia DR3 65037731987586304,7.645945267923222,0.6928,0.6777,0.7078,Gaia DR3 65037731987586304,55.68490896589497,23.10432423094935,7.6459,20.1779,-46.4309,0.0,2016.0,3.552713678800501E-15
Gaia DR3 65040686925109760,7.485443374199612,0.6025,0.5963,0.6114,Gaia DR3 65040686925109760,55.49448945797651,22.950342697552426,7.4854,21.1908,-45.7507,15.87,2016.0,6.542984095068672E-15
Gaia DR3 65042439271761280,7.382324950580081,0.7444,0.7247,0.7673,Gaia DR3 65042439271761280,55.44449969060987,23.02199835550043,7.3823,21.8212,-45.5716,0.0,2016.0,3.552713678800501E-15
Gaia DR3 65047043476608128,7.176704369385575,0.9192,0.9028,0.936,Gaia DR3 65047043476608128,55.35990236479837,23.13393922944862,7.1767,20.5222,-43.974,0.0,2016.0,3.552713678800501E-15
Gaia DR3 65052639818118400,7.239971457247265,1.4048,1.3847,1.4219,Gaia DR3 65052639818118400,55.43225882288366,23.133142733965936,7.24,19.8983,-44.5335,0.0,2016.0,6.534111179999542E-15
Gaia DR3 65053915424355584,7.248243663666067,0.6503,0.6361,0.6641,Gaia DR3 65053915424355584,55.564114916711006,23.191815889549062,7.2482,19.9271,-45.1727,0.0,2016.0,0.0
Gaia DR3 65056526764528128,7.183729162793427,0.8081,0.7996,0.8139,Gaia DR3 65056526764528128,55.93744520454143,23.055694268704652,7.1837,20.218,-44.391,-7.4061,2016.0,9.655617749614908E-15
Gaia DR3 65058760147520000,7.24755258395974,0.8098,0.7956,0.8237,Gaia DR3 65058760147520000,56.03890906143864,23.146191500145903,7.2476,19.6197,-44.3821,0.0,2016.0,9.652636787022062E-15
Gaia DR3 65064837524605312,7.164801526717114,0.7927,0.7415,0.8478,Gaia DR3 65064837524605312,56.09235889438332,23.18174556471273,7.1648,19.2862,-43.2829,0.0,2016.0,3.552713678800501E-15
Gaia DR3 65072435323295872,7.58020870179761,0.1132,0.1038,0.1251,Gaia DR3 65072435323295872,56.04683380132059,23.379119346046334,7.5802,22.0399,-46.639,4.8236,2016.0,3.552713678800501E-15
Gaia DR3 65079788307324672,7.456015960593475,0.6288,0.6195,0.6389,Gaia DR3 65079788307324672,55.651179029374646,23.36783880666926,7.456,19.5557,-43.929,0.0,2016.0,0.0
Gaia DR3 65084358152509440,7.234753689152002,0.2271,0.2157,0.2353,Gaia DR3 65084358152509440,55.90259101572706,23.453753860057788,7.2348,20.1045,-44.0225,3.6961,2016.0,3.552713678800501E-15
Gaia DR3 65086591535491584,7.297531268657663,0.2349,0.2145,0.2479,Gaia DR3 65086591535491584,56.00257297938471,23.543743984874723,7.2975,19.5587,-44.7524,6.5079,2016.0,7.419782465597493E-15
Gaia DR3 65088275162687104,7.500634830364743,,,,Gaia DR3 65088275162687104,55.75590442819679,23.49166437151513,7.5006,20.3301,-46.8075,0.0,2016.0,9.64116574987177E-15
Gaia DR3 65089336018173440,7.524981265385147,0.1522,0.1477,0.1575,Gaia DR3 65089336018173440,55.90730074032356,23.535787848747553,7.525,19.5272,-45.2924,6.5121,2016.0,3.552713678800501E-15
Gaia DR3 65089473457126784,7.241582954749215,0.4945,0.4917,0.4983,Gaia DR3 65089473457126784,55.952614017665695,23.539193471582006,7.2416,21.4833,-44.3891,5.4355,2016.0,7.41998034657486E-15
Gaia DR3 65096899456994304,6.944196831805783,0.6157,0.6063,0.6276,Gaia DR3 65096899456994304,55.053173093257094,23.159776615728504,6.9442,19.5301,-42.0096,0.0,2016.0,0.0
Gaia DR3 65098514364769408,7.287877913694783,0.6475,0.6392,0.6559,Gaia DR3 65098514364769408,55.21602761544148,23.230535528423577,7.2879,20.8259,-45.0265,0.0,2016.0,0.0
Gaia DR3 65101606741121792,7.353979850941794,0.6025,0.5894,0.6204,Gaia DR3 65101606741121792,55.358274790613365,23.25980604541485,7.354,21.4305,-45.7689,0.0,2016.0,6.527924065540587E-15
Gaia DR3 65107860213588096,7.224446903964589,,,,Gaia DR3 65107860213588096,55.30763642249146,23.384742153238573,7.2244,19.4855,-44.4516,9.2418,2016.0,3.552713678800501E-15
Gaia DR3 65108714911246720,7.430003206051548,,,,Gaia DR3 65108714911246720,55.04043570167992,23.17554600042617,7.43,19.6844,-44.6998,0.0,2016.0,0.0
Gaia DR3 65112739296356608,7.106110705709444,0.7028,0.6916,0.7125,Gaia DR3 65112739296356608,55.10957950826757,23.35793606987987,7.1061,21.1854,-44.5582,0.0,2016.0,7.105427357601002E-15
Gaia DR3 65113559634339200,7.243609046567632,0.0254,0.0119,0.0366,Gaia DR3 65113559634339200,54.921665165578005,23.290687048609904,7.2436,21.2921,-43.7088,6.9083,2016.0,0.0
Gaia DR3 65119164567417856,7.563300505452855,0.1653,0.1573,0.1717,Gaia DR3 65119164567417856,55.21027734303729,23.418239557613678,7.5633,21.6971,-45.4979,5.8584,2016.0,0.0
Gaia DR3 65120470237460480,7.4801116586688075,0.056,0.0414,0.0793,Gaia DR3 65120470237460480,55.345801507755894,23.48673483571187,7.4801,21.6267,-45.3244,4.2938,2016.0,6.516759530276295E-15
Gaia DR3 65125452399528320,7.488421887730397,0.445,0.4385,0.451,Gaia DR3 65125452399528320,55.13134552101876,23.550448733258403,7.4884,22.0351,-46.2842,12.7138,2016.0,0.0
Gaia DR3 65125864716379264,7.522153825366353,0.1838,0.1697,0.1942,Gaia DR3 65125864716379264,55.21373303656764,23.59821916838355,7.5222,21.135,-45.7572,4.4042,2016.0,0.0
Gaia DR3 65128506120036352,7.11584754651513,,,,Gaia DR3 65128506120036352,55.64182280026504,23.414270375936105,7.1158,19.0277,-45.3107,0.0,2016.0,7.425399196529868E-15
Gaia DR3 65134592089910656,7.259168619515059,0.5295,0.508,0.5438,Gaia DR3 65134592089910656,55.536924227074216,23.587895919357532,7.2592,19.0403,-44.2497,22.3459,2016.0,6.511749612575643E-15
Gaia DR3 65135176205557888,7.764517612049255,0.6215,0.6129,0.6304,Gaia DR3 65135176205557888,55.722275885926074,23.518556750116925,7.7645,21.3131,-47.1656,0.0,2016.0,9.640266775364429E-15
Gaia DR3 65136791113382912,7.410691983881695,0.6024,0.5861,0.617,Gaia DR3 65136791113382912,55.70385233585675,23.580003136612984,7.4107,21.6793,-46.4913,0.0,2016.0,0.0
Gaia DR3 65147438335354624,7.346245651129198,0.7223,0.699,0.7519,Gaia DR3 65147438335354624,55.395066430632234,23.637539929718397,7.3462,20.6997,-45.8665,0.0,2016.0,0.0
Gaia DR3 65150947325369600,7.45004084678047,0.0973,0.0857,0.1073,Gaia DR3 65150947325369600,55.36604390474277,23.70813709776343,7.45,20.2598,-45.7166,4.844,2016.0,0.0
Gaia DR3 65151531440914560,7.582046291334272,0.4561,0.4504,0.465,Gaia DR3 65151531440914560,55.41503159545681,23.762883513854284,7.582,22.1036,-46.8962,6.1793,2016.0,3.552713678800501E-15
Gaia DR3 65153833543386624,7.327419894069631,0.4802,0.46,0.4977,Gaia DR3 65153833543386624,55.49459139514297,23.707135284771677,7.3274,19.9536,-45.7529,4.6637,2016.0,6.5058183195498405E-15
