designation,parallax,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
Gaia DR3 63632178171114624,7.384702800891043,0.6806,0.6726,0.6893,Gaia DR3 63632178171114624,57.46000788790077,20.96651689252344,7.3847,19.6407,-45.2354,0.0,2016.0,0.0
Gaia DR3 63705433133130368,7.137253476855223,,,,Gaia DR3 63705433133130368,57.20100053548862,21.41108489367433,7.1373,19.1694,-43.504,0.0,2016.0,6.615047755759132E-15
Gaia DR3 63717665199974016,7.557019272421872,0.7188,0.7079,0.7293,Gaia DR3 63717665199974016,57.34390172015998,21.632098141735444,7.557,20.4081,-46.356,0.0,2016.0,3.552713678800501E-15
Gaia DR3 63773774653147904,7.149206756696743,0.6857,0.6796,0.6917,Gaia DR3 63773774653147904,58.19032854954304,21.688685952062063,7.1492,17.8754,-44.3711,0.0,2016.0,0.0
Gaia DR3 63786625195137664,7.640420083089255,,,,Gaia DR3 63786625195137664,58.267618809481064,21.88980803819835,7.6404,19.8774,-47.9577,0.0,2016.0,1.3656499859390639E-14
Gaia DR3 63795455648004608,7.257017840659242,0.5137,0.4937,0.5326,Gaia DR3 63795455648004608,58.645059539912566,21.88371044606809,7.257,18.8709,-44.5501,22.4802,2016.0,1.318685262950118E-14
Gaia DR3 63824901943723392,7.3591452377643,0.8115,0.7945,0.8272,Gaia DR3 63824901943723392,58.01832823927351,21.760705033269936,7.3591,18.177,-44.5229,0.0,2016.0,3.552713678800501E-15
Gaia DR3 63826070174824192,7.520908413838251,0.6375,0.6279,0.646,Gaia DR3 63826070174824192,57.96492519317743,21.821211162958722,7.5209,20.6843,-45.1161,0.0,2016.0,0.0
Gaia DR3 63826448131945984,7.463877991507574,0.6309,0.6204,0.644,Gaia DR3 63826448131945984,57.9663345193002,21.822564566552924,7.4639,20.3863,-45.6428,0.0,2016.0,0.0
Gaia DR3 63849572235829248,7.293487191777333,0.4228,0.206,0.4886,Gaia DR3 63849572235829248,57.849549024507716,22.11318468183651,7.2935,18.7209,-44.617,5.5823,2016.0,6.582766552850728E-15
Gaia DR3 63884584809145600,7.425312317573574,0.5942,0.5877,0.6006,Gaia DR3 63884584809145600,58.23743741144484,22.43351088238098,7.4253,18.8121,-45.9708,-7.837,2016.0,7.46703340924833E-15
Gaia DR3 63889085934846208,7.639202700746432,0.7461,0.7189,0.7749,Gaia DR3 63889085934846208,58.472251631731964,22.510271900178736,7.6392,20.7539,-47.2662,0.0,2016.0,7.463833248327036E-15
Gaia DR3 63892006512622848,7.4162821627048805,0.6198,0.6135,0.6256,Gaia DR3 63892006512622848,58.21556121209022,22.525604769152533,7.4163,18.9984,-46.564,0.0,2016.0,3.552713678800501E-15
Gaia DR3 63916431989200256,7.637128618750358,0.1118,0.1063,0.1178,Gaia DR3 63916431989200256,56.89244333570318,21.746606304672703,7.6371,19.0647,-46.1621,7.1419,2016.0,3.552713678800501E-15
Gaia DR3 63923205154013312,7.718484158889624,0.7686,0.7313,0.8034,Gaia DR3 63923205154013312,56.9207509878919,21.817916787557156,7.7185,20.9733,-46.9808,0.0,2016.0,3.552713678800501E-15
Gaia DR3 63937700667501184,7.744726504099485,0.7096,0.6949,0.7233,Gaia DR3 63937700667501184,57.26243407904011,21.91285584411192,7.7447,20.125,-48.4267,0.0,2016.0,3.552713678800501E-15
Gaia DR3 63940208928422656,7.693911888971305,0.7494,0.7314,0.7718,Gaia DR3 63940208928422656,57.42386029705321,21.938530141788128,7.6939,18.4963,-45.1321,0.0,2016.0,0.0
