rank,name,status,pollution_score,source_score,source_count,contaminated_pixels,coverage_fraction,weighted_coverage_fraction,residual_sigma,aperture_radius_pixels,center_radius_pixels,rejected_large_segments,image_path,error
52,ESO485-021,ok,3.2702269228599263,3.26827014263601,37,37,0.0009494970231985219,7.827120895665689e-05,0.013366064271018946,111.936056928417,11.106666310628254,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO485-021.phot.1.fits,
53,UGC07911,ok,3.318100693689408,3.315792073669923,28,28,0.0006806690003889537,9.234480077939735e-05,0.012930649670049187,115.19999694824219,13.439999643961588,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC07911.phot.1.fits,
54,NGC4303,ok,3.318801656999793,3.3177922085855753,220,220,0.001189935310789468,4.037793656870376e-05,0.009725178642584873,344.3261481721381,16.84666595458984,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4303.phot.1.fits,
55,UGC07257,ok,3.3618670681957172,3.3590358532023377,8,8,0.0006031817839101259,0.00011324859973518835,0.013924282323019965,65.15833892261496,5.040000089009602,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC07257.phot.1.fits,
56,IC3517,ok,3.376148695206474,3.37335240688399,9,9,0.0005602240896358543,0.00011185153289935016,0.01212305372719736,72.0,8.399999999999999,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC3517.phot.1.fits,
57,NGC7764,ok,3.3888238325307554,3.386562306473051,28,28,0.0009364861701060236,9.046104230816646e-05,0.014437911497145302,97.71697278876971,5.366666666666666,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC7764.phot.1.fits,
58,ESO085-047,ok,3.3952866232313554,3.3903886164854615,10,10,0.0009208951100469656,0.0001959202698357623,0.013764335906759224,59.20000076293945,6.9066667556762695,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO085-047.phot.1.fits,
59,NGC1326A,ok,3.411500952727717,3.409932730158047,18,18,0.0005205019952576485,6.272890278680668e-05,0.01180125773175728,105.18892198832376,7.373333422342935,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1326A.phot.1.fits,
60,NGC4389,ok,3.4402337818918034,3.4382955290267807,52,52,0.0005806617310419528,7.753011460090033e-05,0.012268427905522006,170.0,19.833333333333332,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4389.phot.1.fits,
61,UGC05633,ok,3.442622130125745,3.4403791803485047,25,25,0.0006585359428917631,8.971799108960918e-05,0.012285591765122828,110.40023665094502,10.126667022705078,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC05633.phot.1.fits,
62,NGC0600,ok,3.495453020992974,3.4933294480064507,41,41,0.0007585568917668825,8.49429194609203e-05,0.01364656921563714,131.51339959476906,9.566666666666666,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC0600.phot.1.fits,
63,NGC2681,ok,3.5073597772250844,3.5061082369350616,94,94,0.0007607024358663106,5.006161160091794e-05,0.017473727833292,198.59577473472015,7.513333511352538,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC2681.phot.1.fits,
64,PGC048179,ok,3.5316397645591624,3.5297631236193983,29,29,0.000780682154682747,7.506563759055961e-05,0.014808050040379807,109.38808119747767,12.08666648864746,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/PGC048179.phot.1.fits,
65,NGC3485,ok,3.5342908706418132,3.532271856184746,28,28,0.0007613661083315206,8.07605782826841e-05,0.015123967712782748,108.63505894318722,9.799999999999999,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3485.phot.1.fits,
66,ESO357-012,ok,3.5615022196002477,3.5594935568860873,20,20,0.0005533268778530917,8.034650856642665e-05,0.012052282788034722,108.0,12.6,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO357-012.phot.1.fits,
67,NGC7800,ok,3.5945142367600305,3.5914038910606427,33,33,0.0008676903660075726,0.00012441382797551617,0.013295869024437358,110.80000305175781,12.926667022705077,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC7800.phot.1.fits,
68,NGC6237,ok,3.6020218072670236,3.5999950719146447,25,25,0.0005716114871044449,8.106941409516265e-05,0.012186991290656143,118.80000305175781,13.86000035603841,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC6237.phot.1.fits,
69,PGC002492,ok,3.635496283618478,3.632313370671991,10,10,0.0006323910706380826,0.00012731651785947764,0.012992929933574461,71.2803796801094,6.953333155314127,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/PGC002492.phot.1.fits,
70,ESO236-039,ok,3.728637244606667,3.720735356261521,12,12,0.001432493732839919,0.0003160755338058251,0.014264346853846276,51.876420790900625,4.666666666666667,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO236-039.phot.1.fits,
71,UGC04499,ok,3.736527911912461,3.7348277156469964,18,18,0.0006510181200043401,6.800785061858127e-05,0.012424533197630316,94.39956745481467,10.453333155314127,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC04499.phot.1.fits,
72,NGC4020,ok,3.7473973805841228,3.7445368494535654,18,18,0.0011483986219216536,0.00011442124522229338,0.014409886930093985,71.1200603087629,8.297340369355672,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4020.phot.1.fits,
73,UGC08385,ok,3.7665580311018614,3.7634699335226465,25,25,0.0007089785037717656,0.00012352390316859265,0.01179558130079806,106.65224565732882,12.180000178019206,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC08385.phot.1.fits,
74,NGC4204,ok,3.8077724275535805,3.805616659923814,95,95,0.0007448409960484225,8.623070519065354e-05,0.01152476636768418,202.75426772419195,22.539999643961586,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4204.phot.1.fits,
75,NGC0298,ok,3.810808216714201,3.8069569489298583,12,12,0.0007059238778751692,0.0001540507113737159,0.013601987598310522,73.61562512163593,3.0,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC0298.phot.1.fits,
76,NGC3684,ok,3.8143184818982143,3.8123725713597416,28,28,0.0006804870342916859,7.783642153891341e-05,0.01510041354553744,114.54338263838869,4.7133335113525385,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3684.phot.1.fits,
77,NGC1493,ok,3.823606252546444,3.8219648236588863,67,67,0.0007253437263180687,6.565715550230613e-05,0.013388857298400478,172.1749653816692,15.539999643961588,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1493.phot.1.fits,
78,NGC4457,ok,3.874696500091207,3.873153679210449,16,16,0.000703420381605557,6.171283523031069e-05,0.011354044424524243,85.60598551882063,9.32735459931925,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4457.phot.1.fits,
79,IC2007,ok,3.911923228196351,3.9084921182607246,15,15,0.0011657729074376311,0.0001372443974250585,0.015433573601625969,64.26433299718077,5.6,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC2007.phot.1.fits,
80,NGC7496,ok,3.9454143567794575,3.94422837185925,67,67,0.0007440806716716272,4.743939680830721e-05,0.014340767607781215,170.20409485050044,17.54666595458984,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC7496.phot.1.fits,
81,UGC02302,ok,3.952205580533699,3.950620515945542,97,97,0.0005494536617971099,6.340258352628372e-05,0.01184510370831784,237.12099263012232,6.019999821980794,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC02302.phot.1.fits,
82,UGC08507,ok,3.956200592241678,3.9533317489081385,28,28,0.0005876057165641854,0.00011475373334157435,0.014129168677162138,124.0,14.466666666666667,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC08507.phot.1.fits,
83,ESO079-005,ok,3.9673201385562544,3.9644132422197123,20,20,0.0006764069264069264,0.00011627585346168257,0.012060903416465938,97.26800408113313,7.280000178019205,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO079-005.phot.1.fits,
84,NGC3504,ok,3.9990414844181723,3.997377189269259,21,21,0.0008188411448179053,6.657180595652511e-05,0.013720340311245435,90.98462513567253,10.614872932495128,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3504.phot.1.fits,
85,ESO420-009,ok,4.012879876333913,4.009890295695717,20,20,0.0008958967926894822,0.00011958322552783315,0.007091209607170092,84.32765126943707,3.0,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO420-009.phot.1.fits,
86,IC5273,ok,4.018879040263923,4.016264854896281,79,79,0.0010716368914391134,0.00010456741470565816,0.0141867279656374,153.45109941955792,9.239999643961587,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC5273.phot.1.fits,
87,IC0600,ok,4.026291164070713,4.022872706337049,24,24,0.0008317737575379496,0.00013673830934655932,0.013137345974537617,95.93343703351445,4.480000178019206,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC0600.phot.1.fits,
88,PGC011677,ok,4.106605282933623,4.103371979540335,8,8,0.0005453677823982549,0.00012933213573152356,0.012435432993509625,68.80000305175781,8.026667022705078,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/PGC011677.phot.1.fits,
89,NGC3185,ok,4.1072610443402535,4.104171470082916,49,49,0.0009415110291291984,0.00012358297029349568,0.01432263981141573,129.60000610351562,15.120000712076823,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3185.phot.1.fits,
90,NGC0210,ok,4.138162319412043,4.136661177939265,97,97,0.0005044805150902084,6.004565891112186e-05,0.012153765259094552,248.86854248946804,24.593333689371743,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC0210.phot.1.fits,
