rank,name,catalogue,candidate_rank,x,y,score,peak
30,NGC4369,2MASS,1,422.31838713837766,820.5991100376724,0.026428490896475205,2.631744462854186
30,NGC4369,weak_Gaia,1,426.33441001562625,828.4760564184019,0.026747069220945392,3.9835040072451875
34,PGC013821,weak_Gaia,1,288.21986348341096,255.78960229184764,0.05801762132573076,39.92315486144773
37,NGC0685,weak_Gaia,1,501.2874077084714,245.353731890084,0.035734754376432205,4.119535457355306
38,PGC051523,weak_Gaia,1,356.77146781868146,741.8918884026302,0.0404011421567449,9.549622628459002
39,IC4901,weak_Gaia,1,950.5636873211267,1133.7869940150124,0.09972959974706591,10.919851719891088
39,IC4901,weak_Gaia,2,946.2856092055848,1120.700044619265,0.003850703027224197,2.6500385451877433
40,NGC2500,weak_Gaia,1,396.7249862091886,863.3215388839849,0.13151386456812836,12.805860945611467
40,NGC2500,weak_Gaia,2,329.0754874941817,870.6202431291364,0.00169571801771373,2.538240838116739
41,NGC4639,2MASS,1,445.99828844245303,229.4601848089584,0.17993701324064323,11.748792306674991
42,NGC4618,2MASS,1,347.4823242496544,679.2276518435929,0.1713014091647037,11.204240675493603
42,NGC4618,weak_Gaia,1,304.52541891139947,710.6395504969698,0.03943971534847108,4.1251807420720255
43,NGC4981,weak_Gaia,1,234.1568510181264,763.3428974080998,0.23684475562680024,34.20011072890747
44,UGC07129,2MASS,1,631.7519623281655,772.2099524395759,0.21038759353103711,30.65312884582599
44,UGC07129,weak_Gaia,1,642.3093471319282,745.6511291438425,0.061153162079575156,22.721559231701644
45,NGC3684,2MASS,1,502.46274013875563,771.2110533973903,0.3070544606306106,15.179032292597348
46,NGC0289,weak_Gaia,1,940.1864937840627,1085.7760281958092,0.247048303269815,78.65445167715149
46,NGC0289,weak_Gaia,2,1012.9111343922924,1031.4533264149002,0.04335933814348418,18.45780842833992
47,NGC4102,2MASS,1,600.1388368373845,797.5639203937624,0.3881273169622386,61.177559761233326
48,NGC5713,2MASS,1,315.26713850785006,786.8343086596226,0.3643879274705429,22.59108551897156
48,NGC5713,weak_Gaia,1,296.6695280101077,786.0375485113027,0.09629937582657978,87.65134017118775
48,NGC5713,weak_Gaia,2,276.5338581738969,795.9737508380168,0.030447684397282633,8.349554542445361
48,NGC5713,weak_Gaia,3,299.5286200423404,787.8215332345991,0.005110915829933088,70.443679522991
48,NGC5713,weak_Gaia,4,309.4159329700567,780.2590150770994,0.0019633485331735996,2.8706285142125334
49,NGC3287,2MASS,1,526.0595662801777,856.6821402503397,0.28100964655234945,103.05667844895578
49,NGC3287,2MASS,2,492.41049076430863,757.6191452762579,0.1331861392790499,28.567928944641128
49,NGC3287,weak_Gaia,1,507.99851934958207,822.6721961348451,0.06842573661987952,25.390317366274036
50,NGC0701,2MASS,1,281.26038241594557,291.4922210731182,0.44682522090264254,91.42285158570719
50,NGC0701,weak_Gaia,1,316.3526311824829,292.96175746860837,0.11653217507556851,13.60837285799436
51,NGC1022,2MASS,1,232.17875605916652,238.0403561344353,0.5852023276141761,105.74943472624398
52,NGC4133,2MASS,1,771.3870376433505,278.42979589775746,0.47762397501902165,64.1054535181037
52,NGC4133,weak_Gaia,1,771.082413175889,278.0432383057505,0.1536592065314822,64.1054535181037
53,UGC02302,2MASS,1,554.0265055289601,590.3501853722695,0.6493635785243704,209.35367200458424
54,UGC05354,2MASS,1,521.2572250197661,724.9025150605534,0.6857852369972224,312.54045192626216
55,IC3115,2MASS,1,445.26859425546945,770.2584319546545,0.8394484517712063,303.11423839291643
55,IC3115,weak_Gaia,1,423.5041688345418,747.9492952064884,0.08845115462658354,19.397589426545498
56,NGC0991,2MASS,1,286.13838140271065,251.75126107929654,0.47790051274223144,173.19535507554698
56,NGC0991,2MASS,2,227.7170713518055,255.86988949442724,0.36651504540655994,57.40419352515176
56,NGC0991,weak_Gaia,1,255.49689721338945,327.8085113122416,0.1033515390592284,9.368056631028141
57,NGC0986,2MASS,1,921.3187654981997,786.570565176195,0.24320665409753411,90.29827381453063
57,NGC0986,weak_Gaia,1,1002.8401836685574,857.0736850907007,0.35891426593274245,50.390648977118595
57,NGC0986,weak_Gaia,2,999.9405641496464,849.3040221559799,0.350303051963239,75.52441199667992
57,NGC0986,weak_Gaia,3,984.7865993306918,761.4308397071225,0.0009679120777253484,81.90811071972396
58,NGC4457,2MASS,1,641.0758477411882,395.3373178836237,0.7754176239782902,575.0140904683965
58,NGC4457,weak_Gaia,1,641.527672221201,395.0528832635357,0.2231203002607935,575.0140904683965
58,NGC4457,weak_Gaia,2,554.4098261851426,404.3003525136013,0.02071457607243436,9.886720279369387
59,NGC3227,weak_Gaia,1,475.0465552811581,415.10513793008204,0.3388436765084115,70.67109255336918
59,NGC3227,weak_Gaia,2,566.9176996076383,401.94368499144355,0.19374585171004474,63.99355140163436
59,NGC3227,weak_Gaia,3,430.8471931606129,182.20340567843155,0.18620802554778051,23.13424812878495
59,NGC3227,weak_Gaia,4,466.56322850709864,280.2175701878576,0.18194179551042308,40.30276653638606
59,NGC3227,weak_Gaia,5,630.3000320381266,211.8237414508764,0.11941091159999805,27.252349084576714
59,NGC3227,weak_Gaia,6,572.3888682286657,333.6365390393096,0.11739937460019445,99.32498304932233
59,NGC3227,weak_Gaia,7,516.2586143846906,137.50402696904928,0.08166506108505908,4.934586428567291
59,NGC3227,weak_Gaia,8,482.66043731383627,387.4825747451275,0.05831773813552712,20.40916593881669
59,NGC3227,weak_Gaia,9,390.931220430247,297.2623420083697,0.029056371672872332,5.898085047381753
60,NGC0578,2MASS,1,591.9348533589626,449.4197816058593,0.6932625850181453,102.0551332272865
60,NGC0578,weak_Gaia,1,591.8128284889474,449.0491260903343,0.3025145825533725,102.0551332272865
60,NGC0578,weak_Gaia,2,609.3030119851215,390.6285533022398,0.06139292552455858,13.701731528886434
61,NGC2681,2MASS,1,408.69737073063584,726.8037578648858,0.7128265100203639,93.230967994681
