rank,name,status,pollution_score,source_score,source_count,contaminated_pixels,coverage_fraction,weighted_coverage_fraction,residual_sigma,aperture_radius_pixels,center_radius_pixels,rejected_large_segments,image_path,error
168,NGC5236,ok,12.974809627952585,12.968380349097504,3259,3259,0.0022526663579244227,0.00025717115420321074,0.016634404373204043,680.7223412329747,53.62000071207682,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC5236.phot.1.fits,
169,NGC1313,ok,13.16120627790063,13.152328887678102,937,937,0.0025948993749532667,0.0003550956089011267,0.014309909320432425,339.23771661897865,12.016837776308215,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1313.phot.1.fits,
170,NGC3726,ok,13.198308195386131,13.194558057662633,133,133,0.0016276280686296106,0.00015000550893996646,0.015599529049503704,161.62336009039592,10.586261850557236,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3726.phot.1.fits,
171,NGC4064,ok,13.249582908551126,13.241333072719078,43,43,0.00141839292782689,0.0003299934332819001,0.007908900631091538,98.74250288566891,10.071254735575447,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4064.phot.1.fits,
172,NGC2903,ok,13.300485697489462,13.29319478440955,771,771,0.0018371752774825694,0.00029163652319646034,0.009975801098809542,366.01942240277845,19.48444367215119,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC2903.phot.1.fits,
173,NGC1512,ok,13.50986720759455,13.501351989931694,346,346,0.0016582317306954987,0.0003406087065142248,0.008534269404682118,258.5259432442724,20.428624656301086,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1512.phot.1.fits,
174,NGC3627,ok,13.544443814651471,13.539086301412885,487,487,0.0015665863536496315,0.00021430052954344027,0.011246491123398478,315.14043586700853,18.99804873055011,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3627.phot.1.fits,
175,NGC3319,ok,13.756809823820847,13.746055429350148,149,149,0.0019395485668167972,0.00043017577882794607,0.006816478374845131,157.44509154418546,18.368594013488302,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3319.phot.1.fits,
176,NGC4450,ok,13.795599898266959,13.789926475009935,96,96,0.0010979459261631365,0.00022693693028092655,0.012265577418505168,167.3031551499683,12.760736821121597,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4450.phot.1.fits,
177,NGC4293,ok,13.824833325850697,13.818089658923702,173,173,0.0015217754633498413,0.00026974667707980776,0.007784605440610582,191.53367591702698,22.345595523653145,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4293.phot.1.fits,
178,NGC4725,ok,14.16802894840679,14.162394967034201,438,438,0.001545807790447755,0.0002253592549035269,0.01107231438182038,302.3828845900574,35.278003202173366,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4725.phot.1.fits,
179,NGC3953,ok,14.20249559678764,14.196659854627,259,259,0.002334111370456819,0.00023342968642557827,0.00881933284212404,188.14996044201467,8.612067182165168,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3953.phot.1.fits,
180,NGC1097,ok,14.227155784182406,14.220005239762873,535,535,0.001633857185612284,0.0002860217767813403,0.01011760335663265,323.9695042699654,26.89482740411838,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1097.phot.1.fits,
181,NGC1808,ok,14.266894614672664,14.256699743161466,587,587,0.0017980432878155765,0.00040779486044794066,0.008790586973407852,335.4904988717229,39.140558201701005,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1808.phot.1.fits,
182,NGC1559,ok,15.211246513111567,15.199744155834741,132,132,0.0025535866284918363,0.0004600942910730258,0.006921406946915652,128.38199831081113,5.2359076699600156,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1559.phot.1.fits,
