rank,name,status,pollution_score,source_score,source_count,contaminated_pixels,coverage_fraction,residual_sigma,aperture_radius_pixels,center_radius_pixels,rejected_large_segments,image_path,error
129,NGC7800,ok,72.0826839460283,71.82211364121021,22,265,0.010422812192723696,0.011434323751161043,110.80000305175781,64.63333511352539,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC7800.phot.1.fits,
130,NGC4498,ok,73.72632524826048,72.96905751091549,22,298,0.030290709493799552,0.008656383564602202,68.91288695884094,40.19918405932388,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4498.phot.1.fits,
131,NGC6237,ok,74.67239003580843,74.46815842519864,16,239,0.008169264424391578,0.01110823150003338,118.80000305175781,69.30000178019205,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC6237.phot.1.fits,
132,ESO485-021,ok,74.69539280231584,74.35724913119384,17,254,0.01352574684487992,0.01206561150461395,95.19999694824219,55.53333155314128,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO485-021.phot.1.fits,
133,ESO440-044,ok,74.81858568290242,74.5191015203923,21,281,0.011979366500404997,0.011144825953915244,106.4000015258789,62.066667556762695,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO440-044.phot.1.fits,
134,NGC3953,ok,75.03041455348688,74.3570138800862,19,304,0.026936026936026935,0.029749289011053198,73.81771870427286,43.06033591082584,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3953.phot.1.fits,
135,NGC4214,ok,75.11056146484154,74.64138834310843,21,298,0.018766924869324266,0.03240338477994932,87.55124852700466,51.07156164075272,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4214.phot.1.fits,
136,NGC4781,ok,77.3638638963843,76.57234929784416,22,347,0.03166058394160584,0.02029644824413049,72.80000305175781,42.46666844685872,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4781.phot.1.fits,
137,NGC3930,ok,80.85509295908116,80.64019774010764,19,274,0.008595808758940896,0.01197297501843956,124.0,72.33333333333334,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3930.phot.1.fits,
138,NGC3504,ok,81.00707232238652,80.56837355249205,22,301,0.017547950795779164,0.008184756520101501,90.98462513567253,53.074364662475645,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3504.phot.1.fits,
139,NGC4116,ok,81.00970912856818,80.84451338292436,24,292,0.0066078298257524325,0.008559567287821748,146.0,85.16666666666666,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4116.phot.1.fits,
140,ESO120-012,ok,83.84244688981929,83.49801808853208,19,274,0.013777152051488335,0.011832217129179102,98.0,57.166666666666664,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO120-012.phot.1.fits,
141,NGC0578,ok,85.41542830783712,84.52814281641746,21,364,0.035491419656786274,0.01888567118268964,70.4000015258789,41.066667556762695,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC0578.phot.1.fits,
