rank,name,status,pollution_score,source_score,source_count,contaminated_pixels,coverage_fraction,residual_sigma,aperture_radius_pixels,center_radius_pixels,rejected_large_segments,image_path,error
119,NGC5713,ok,102.98043458774869,101.36094629161369,20,357,0.06477953184540011,0.051532813080706674,42.18155488175937,4.921181402871926,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC5713.phot.1.fits,
120,UGC06840,ok,103.05509431357669,102.94009791847935,26,319,0.004599855803893295,0.010390864703951234,149.60000610351562,17.453334045410156,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC06840.phot.1.fits,
121,NGC3726,ok,104.10309773855852,103.72383470445425,32,387,0.015170521364170913,0.019392245245958038,90.7393872904906,10.586261850557236,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3726.phot.1.fits,
122,UGC08507,ok,105.79132262863571,105.62710781677447,24,313,0.006568592474449644,0.01290767611389549,124.0,14.466666666666667,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC08507.phot.1.fits,
123,NGC6237,ok,109.12917696401874,108.94911934558084,25,315,0.007202304737516005,0.010778983319670428,118.80000305175781,13.86000035603841,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC6237.phot.1.fits,
124,NGC4424,ok,110.79111431851581,110.42357393743447,18,304,0.0147016152432537,0.008091593422265142,81.6654466903967,9.527635447212948,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4424.phot.1.fits,
125,NGC4981,ok,115.29240407260167,114.70969624484616,30,413,0.023308313110220667,0.02431458322698219,75.5999984741211,8.819999821980794,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4981.phot.1.fits,
126,NGC3930,ok,120.47528759879556,120.28902975497932,27,355,0.007450313752649583,0.012136754597583238,124.0,14.466666666666667,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3930.phot.1.fits,
127,NGC1640,ok,122.24366355394972,121.9241251783215,23,412,0.012781535025128746,0.013539792093185279,102.0,11.899999999999999,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1640.phot.1.fits,
128,NGC1879,ok,123.82718158048434,123.67444473489343,32,369,0.006109473823636544,0.010831025640291779,139.60000610351562,16.286667378743488,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1879.phot.1.fits,
129,NGC4498,ok,126.70823962045198,125.97264570906302,27,433,0.029423756455558576,0.010238724657941354,68.91288695884094,8.039836811864776,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4498.phot.1.fits,
130,ESO485-021,ok,127.87807738688599,127.55500867916082,27,363,0.012922748309006764,0.011756209073137028,95.19999694824219,11.106666310628254,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO485-021.phot.1.fits,
131,NGC3485,ok,131.71283280505236,131.20727394519054,31,442,0.020222354394473167,0.015223782449878829,84.0,9.799999999999999,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3485.phot.1.fits,
132,NGC0701,ok,135.61881390578964,134.24614379575146,18,489,0.05490680440152706,0.019577603820824976,53.599998474121094,6.2533331553141265,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC0701.phot.1.fits,
133,NGC4064,ok,136.79246985028647,136.2554873455229,16,496,0.02147930019054218,0.007376774425748169,86.3250405906467,10.071254735575447,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4064.phot.1.fits,
134,NGC0578,ok,138.4026526237842,137.5489543507311,32,524,0.034147930922124474,0.020583778713573784,70.4000015258789,8.21333351135254,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC0578.phot.1.fits,
135,NGC7800,ok,145.6521540343885,145.35700784170865,35,449,0.011805847707193942,0.01161248623695967,110.80000305175781,12.926667022705077,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC7800.phot.1.fits,
136,NGC4214,ok,146.86537005843368,146.34854971402714,31,491,0.020672813776262053,0.03555155631229787,87.55124852700466,10.214312328150543,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4214.phot.1.fits,
137,NGC3287,ok,155.97451148166098,155.61446816817966,26,532,0.014401732539252842,0.011715108914061611,109.19999694824219,12.739999643961589,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3287.phot.1.fits,
