rank,name,catalogue,candidate_rank,x,y,score,peak
1,NGC0986,2MASS,1,921.3187654981997,786.570565176195,0.24320665409753411,90.29827381453063
1,NGC0986,weak_Gaia,1,1002.8401836685574,857.0736850907007,0.35891426593274245,50.390648977118595
1,NGC0986,weak_Gaia,2,999.9405641496464,849.3040221559799,0.350303051963239,75.52441199667992
1,NGC0986,weak_Gaia,3,984.7865993306918,761.4308397071225,0.0009679120777253484,81.90811071972396
2,NGC7418,2MASS,1,1032.217926326537,937.0901765819777,0.8171057962958317,132.14103665444145
2,NGC7418,2MASS,2,1039.909751059533,1034.7421472338974,0.7814212120026924,227.87674840580098
2,NGC7418,2MASS,3,972.6504662009996,978.9084430835306,0.7271725643257725,100.04137934447706
2,NGC7418,2MASS,4,1171.8341939979964,1040.9392412327804,0.5814989114915055,117.62368334177506
2,NGC7418,2MASS,5,1175.7477098918203,1021.7880039626808,0.27179381771333905,62.7017219319423
2,NGC7418,weak_Gaia,1,1175.8721630806656,1021.2202751860469,0.33198420753132735,62.7017219319423
2,NGC7418,weak_Gaia,2,1021.9179202039737,1136.561385044162,0.3140445303842318,39.21064537905414
2,NGC7418,weak_Gaia,3,1031.9078491943303,936.9713868064023,0.3018864531081738,132.14103665444145
2,NGC7418,weak_Gaia,4,972.2843812517176,978.5394994224339,0.3012646713784131,100.04137934447706
2,NGC7418,weak_Gaia,5,1172.5200788267139,1039.8622147356443,0.293488248475525,117.62368334177506
2,NGC7418,weak_Gaia,6,1039.4321301017585,1034.5436044918335,0.21162839650790286,227.87674840580098
2,NGC7418,weak_Gaia,7,1086.19303445659,940.7215428531599,0.10632089654485015,27.97479230321132
2,NGC7418,weak_Gaia,8,1135.5389551759995,995.0181972490224,0.05740310845616784,10.678222362553452
2,NGC7418,weak_Gaia,9,1075.91524089608,1077.5631464695575,0.04291745376260763,46.617577575107376
2,NGC7418,weak_Gaia,10,975.2250273973328,1016.942455808776,0.0352209726322959,11.417841072977623
