name,status,report_png,cleaned_fits,raw_segments,kept_segments,masked_fraction,background_level,background_rms,elapsed_seconds,error
ESO013-016,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\ESO013-016_sep_thr2.2_area15_deb0.0005_dil5.png,,617,616,0.14368500464252554,0.0073697855696082115,0.018322760239243507,0.92923310000333,
ESO026-001,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\ESO026-001_sep_thr2.2_area15_deb0.0005_dil5.png,,540,538,0.13436588683604922,0.014705301262438297,0.02022196725010872,0.9078780999989249,
ESO054-021,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\ESO054-021_sep_thr2.2_area15_deb0.0005_dil5.png,,439,438,0.08778693923819882,0.0024058653507381678,0.019128717482089996,0.9145943999974406,
ESO079-005,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\ESO079-005_sep_thr2.2_area15_deb0.0005_dil5.png,,415,415,0.07884188989688189,-0.0096091628074646,0.01802937686443329,0.8893841000026441,
ESO085-047,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\ESO085-047_sep_thr2.2_area15_deb0.0005_dil5.png,,642,640,0.11912536680343404,0.02832880988717079,0.02219363860785961,0.9624170000024606,
ESO120-012,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\ESO120-012_sep_thr2.2_area15_deb0.0005_dil5.png,,491,490,0.08766637265671362,0.026691464707255363,0.020483167842030525,1.232359900001029,
ESO202-041,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\ESO202-041_sep_thr2.2_area15_deb0.0005_dil5.png,,423,422,0.08349277748150896,0.0025067219976335764,0.018752742558717728,1.1087373000045773,
ESO236-039,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\ESO236-039_sep_thr2.2_area15_deb0.0005_dil5.png,,426,425,0.06503092933556509,0.03194398432970047,0.020405512303113937,0.9760231000036583,
ESO298-023,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\ESO298-023_sep_thr2.2_area15_deb0.0005_dil5.png,,383,382,0.08479440789473684,0.007003935519605875,0.017359815537929535,0.8969359999973676,
ESO357-012,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\ESO357-012_sep_thr2.2_area15_deb0.0005_dil5.png,,258,257,0.05263504611330698,0.040837496519088745,0.020175201818346977,1.2044903999994858,
ESO358-020,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\ESO358-020_sep_thr2.2_area15_deb0.0005_dil5.png,,434,433,0.0959623259261874,0.045193325728178024,0.01837727800011635,0.8195880999992369,
ESO359-031,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\ESO359-031_sep_thr2.2_area15_deb0.0005_dil5.png,,385,383,0.07504189944134078,0.10849608480930328,0.020705092698335648,0.8856498000022839,
ESO420-009,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\ESO420-009_sep_thr2.2_area15_deb0.0005_dil5.png,,885,884,0.15939649173182108,0.0011765486560761929,0.007225978188216686,1.0794356999977026,
ESO440-044,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\ESO440-044_sep_thr2.2_area15_deb0.0005_dil5.png,,388,387,0.09159219257840011,0.04148803651332855,0.02041030302643776,1.170813000004273,
ESO443-085,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\ESO443-085_sep_thr2.2_area15_deb0.0005_dil5.png,,413,412,0.10594657251506603,0.07175420969724655,0.021404018625617027,0.8171530999970855,
ESO479-004,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\ESO479-004_sep_thr2.2_area15_deb0.0005_dil5.png,,290,289,0.07577724671333254,0.033413711935281754,0.01925959810614586,1.0797300999984145,
ESO485-021,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\ESO485-021_sep_thr2.2_area15_deb0.0005_dil5.png,,480,479,0.13059437781807623,0.03465750813484192,0.01678866147994995,1.1164428000047337,
ESO572-030,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\ESO572-030_sep_thr2.2_area15_deb0.0005_dil5.png,,371,370,0.0874808881586454,0.039831481873989105,0.020247237756848335,0.8652728000015486,
IC0600,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\IC0600_sep_thr2.2_area15_deb0.0005_dil5.png,,407,406,0.05881699957142757,0.040655847638845444,0.021983416751027107,1.0804494000039995,
IC0797,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\IC0797_sep_thr2.2_area15_deb0.0005_dil5.png,,642,641,0.09740586784014185,0.08406338095664978,0.016926312819123268,0.873880500002997,
IC1014,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\IC1014_sep_thr2.2_area15_deb0.0005_dil5.png,,255,254,0.05532312640155777,0.0415002778172493,0.021629568189382553,0.8541231999988668,
IC1933,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\IC1933_sep_thr2.2_area15_deb0.0005_dil5.png,,384,383,0.07716669944319046,0.0039405799470841885,0.01827968657016754,0.8872922000009567,
IC1953,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\IC1953_sep_thr2.2_area15_deb0.0005_dil5.png,,197,196,0.06342755613892641,0.05796143412590027,0.025905605405569077,0.7261627999978373,
IC1954,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\IC1954_sep_thr2.2_area15_deb0.0005_dil5.png,,428,427,0.09600532184785093,0.004840878304094076,0.019353246316313744,0.9005614999987301,
IC2007,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\IC2007_sep_thr2.2_area15_deb0.0005_dil5.png,,425,424,0.10213701844666338,0.06913461536169052,0.01893317885696888,0.9711041000045952,
IC3115,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\IC3115_sep_thr2.2_area15_deb0.0005_dil5.png,,370,369,0.049427787575935724,0.0625804141163826,0.02051236294209957,0.9581197000006796,
IC3517,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\IC3517_sep_thr2.2_area15_deb0.0005_dil5.png,,213,212,0.05453910743679373,0.05557410418987274,0.018384093418717384,0.7945233999998891,
IC3521,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\IC3521_sep_thr2.2_area15_deb0.0005_dil5.png,,454,453,0.05795193582000465,0.08548489212989807,0.020764455199241638,0.9498263999994379,
IC4901,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\IC4901_sep_thr2.2_area15_deb0.0005_dil5.png,,1470,1468,0.11462079110820529,0.04713688790798187,0.02409105934202671,1.5880022999990615,
IC5273,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\IC5273_sep_thr2.2_area15_deb0.0005_dil5.png,,472,471,0.06199954257649806,0.02024824544787407,0.020122841000556946,1.126200799997605,
NGC0210,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC0210_sep_thr2.2_area15_deb0.0005_dil5.png,,638,637,0.09514744026582567,0.06278198957443237,0.018357830122113228,1.4929208000030485,
NGC0255,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC0255_sep_thr2.2_area15_deb0.0005_dil5.png,,311,310,0.042998768186455656,0.05965568870306015,0.020852845162153244,0.9682993999958853,
NGC0289,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC0289_sep_thr2.2_area15_deb0.0005_dil5.png,,1094,1092,0.0603927047134311,0.029369153082370758,0.022389806807041168,1.6051139999981388,
NGC0298,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC0298_sep_thr2.2_area15_deb0.0005_dil5.png,,219,218,0.06234933158010081,0.06535109877586365,0.019247958436608315,0.8345367000001715,
NGC0578,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC0578_sep_thr2.2_area15_deb0.0005_dil5.png,,573,572,0.06596962575647451,0.038454342633485794,0.026347847655415535,1.1248817000014242,
NGC0600,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC0600_sep_thr2.2_area15_deb0.0005_dil5.png,,251,249,0.060430077102638466,0.08413951098918915,0.01916743442416191,1.0012232000008225,
NGC0672,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC0672_sep_thr2.2_area15_deb0.0005_dil5.png,,1855,1853,0.15217093875191776,0.056810490787029266,0.010755335912108421,2.106552199998987,
NGC0685,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC0685_sep_thr2.2_area15_deb0.0005_dil5.png,,424,423,0.09113201363467983,0.0028696416411548853,0.01902107335627079,0.8512786999999662,
NGC0701,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC0701_sep_thr2.2_area15_deb0.0005_dil5.png,,182,181,0.053954964157126285,0.08704670518636703,0.020643576979637146,0.8312600999997812,
NGC0918,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC0918_sep_thr2.2_area15_deb0.0005_dil5.png,,294,293,0.08568538761150898,0.11925166845321655,0.020189261063933372,0.8163674000024912,
NGC0986,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC0986_sep_thr2.2_area15_deb0.0005_dil5.png,,1344,1343,0.1487740619802853,0.018162310123443604,0.009850047528743744,1.6617597000004025,
NGC0991,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC0991_sep_thr2.2_area15_deb0.0005_dil5.png,,299,298,0.0826909557192649,0.060311365872621536,0.01880556158721447,0.7690643000023556,
NGC1022,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC1022_sep_thr2.2_area15_deb0.0005_dil5.png,,282,281,0.07557573093154576,0.08552925288677216,0.019283352419734,0.7712290999988909,
NGC1051,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-toy\NGC1051_sep_thr2.2_area15_deb0.0005_dil5.png,,332,331,0.08339014032589541,0.06482284516096115,0.018198512494564056,0.7599037000036333,
