GB class,n,PE matches GB,VPD matches GB,PE and VPD both match GB,PE/VPD agree with each other
Peak+Sh,75,0.7466666666666667,0.7733333333333333,0.7333333333333333,0.9333333333333333
Exp,60,0.85,0.95,0.8333333333333334,0.8666666666666667
Flat-top (FT),33,0.7272727272727273,0.696969696969697,0.6060606060606061,0.7575757575757576
Two-slope (2S),12,0.4166666666666667,0.5,0.4166666666666667,0.9166666666666666
