galaxy name,PE,VPD,GB,SRA,SRA raw,human_unanimous,human_majority_class,human_majority_is_unanimous,human_majority_shoulder_binary,human_shoulder_votes
NGC4639,Peak+Sh,Peak+Sh,Peak+Sh,Shoulders,Shoulders,True,Peak+Sh,True,Shoulders,3
NGC4654,Exp,Peak+Sh,Peak+Sh,No Shoulders,No Shoulders,False,Peak+Sh,False,Shoulders,2
NGC4668,Exp,Exp,Exp,No Shoulders,No Shoulders,True,Exp,True,No Shoulders,0
NGC4713,Exp,Exp,Exp,No Shoulders,No Shoulders,True,Exp,True,No Shoulders,0
NGC4725,Peak+Sh,Peak+Sh,Peak+Sh,Shoulders,Shoulders,True,Peak+Sh,True,Shoulders,3
NGC4765,Exp,Exp,Peak+Sh,No Shoulders,No Shoulders,False,Exp,False,No Shoulders,1
NGC4781,Exp,Exp,Exp,Shoulders,Shoulders,True,Exp,True,No Shoulders,0
NGC4900,Exp,Exp,Peak+Sh,Shoulders,Shoulders,False,Exp,False,No Shoulders,1
NGC4981,Peak+Sh,Peak+Sh,Peak+Sh,Shoulders,Shoulders,True,Peak+Sh,True,Shoulders,3
NGC5042,Exp,Exp,Exp,No Shoulders,No Shoulders,True,Exp,True,No Shoulders,0
NGC5068,Exp,Exp,Peak+Sh,Shoulders,Shoulders,False,Exp,False,No Shoulders,1
NGC5134,Peak+Sh,Peak+Sh,Peak+Sh,,Too Noisy,True,Peak+Sh,True,Shoulders,3
NGC5236,Peak+Sh,Peak+Sh,Peak+Sh,Shoulders,Shoulders,True,Peak+Sh,True,Shoulders,3
NGC5569,Flat-top (FT),Exp,Exp,No Shoulders,No Shoulders,False,Exp,False,No Shoulders,0
NGC5669,Two-slope (2S),Two-slope (2S),Two-slope (2S),No Shoulders,No Shoulders,True,Two-slope (2S),True,No Shoulders,0
NGC5713,Exp,Peak+Sh,Peak+Sh,No Shoulders,No Shoulders,False,Peak+Sh,False,Shoulders,2
NGC6217,Peak+Sh,Peak+Sh,Peak+Sh,,Too Noisy,True,Peak+Sh,True,Shoulders,3
NGC6237,Exp,Exp,Exp,,Too Noisy,True,Exp,True,No Shoulders,0
NGC6412,Exp,Exp,Peak+Sh,No Shoulders,No Shoulders,False,Exp,False,No Shoulders,1
NGC7418,Peak+Sh,Peak+Sh,Peak+Sh,Shoulders,Shoulders,True,Peak+Sh,True,Shoulders,3
NGC7424,Exp,Exp,Exp,No Shoulders,No Shoulders,True,Exp,True,No Shoulders,0
NGC7496,Peak+Sh,Peak+Sh,Peak+Sh,Shoulders,Shoulders,True,Peak+Sh,True,Shoulders,3
NGC7513,Peak+Sh,Exp,Peak+Sh,Shoulders,Shoulders,False,Peak+Sh,False,Shoulders,2
NGC7531,Peak+Sh,Peak+Sh,Peak+Sh,Shoulders,Shoulders,True,Peak+Sh,True,Shoulders,3
NGC7552,Peak+Sh,Peak+Sh,Peak+Sh,,Too Noisy,True,Peak+Sh,True,Shoulders,3
NGC7582,Peak+Sh,Peak+Sh,Peak+Sh,Shoulders,Shoulders,True,Peak+Sh,True,Shoulders,3
NGC7764,Flat-top (FT),Flat-top (FT),Flat-top (FT),No Shoulders,No Shoulders,True,Flat-top (FT),True,No Shoulders,0
NGC7800,Exp,Exp,Exp,No Shoulders,No Shoulders,True,Exp,True,No Shoulders,0
PGC002492,Two-slope (2S),Exp,Exp,No Shoulders,No Shoulders,False,Exp,False,No Shoulders,0
PGC006626,Exp,Exp,Peak+Sh,Shoulders,Shoulders,False,Exp,False,No Shoulders,1
PGC007654,Exp,Exp,Two-slope (2S),Shoulders,Shoulders,False,Exp,False,No Shoulders,0
PGC011677,Exp,Exp,Two-slope (2S),Shoulders,Shoulders,False,Exp,False,No Shoulders,0
PGC013821,Two-slope (2S),Two-slope (2S),Two-slope (2S),No Shoulders,No Shoulders,True,Two-slope (2S),True,No Shoulders,0
PGC035705,Exp,Exp,Exp,No Shoulders,No Shoulders,True,Exp,True,No Shoulders,0
PGC042160,Flat-top (FT),Flat-top (FT),Flat-top (FT),No Shoulders,No Shoulders,True,Flat-top (FT),True,No Shoulders,0
PGC048179,Exp,Exp,Peak+Sh,Shoulders,Shoulders,False,Exp,False,No Shoulders,1
PGC051523,Exp,Exp,Exp,No Shoulders,No Shoulders,True,Exp,True,No Shoulders,0
UGC02302,Flat-top (FT),Flat-top (FT),Flat-top (FT),No Shoulders,No Shoulders,True,Flat-top (FT),True,No Shoulders,0
UGC02345,Flat-top (FT),Flat-top (FT),Flat-top (FT),No Shoulders,No Shoulders,True,Flat-top (FT),True,No Shoulders,0
UGC04393,Exp,Exp,Peak+Sh,Shoulders,Shoulders,False,Exp,False,No Shoulders,1
UGC04499,Exp,Exp,Peak+Sh,No Shoulders,No Shoulders,False,Exp,False,No Shoulders,1
UGC04988,Exp,Exp,Peak+Sh,Shoulders,Shoulders,False,Exp,False,No Shoulders,1
UGC05354,Exp,Exp,Exp,No Shoulders,No Shoulders,True,Exp,True,No Shoulders,0
UGC05393,Flat-top (FT),Exp,Exp,No Shoulders,No Shoulders,False,Exp,False,No Shoulders,0
