reference,n,tp,fn,fp,tn,accuracy,balanced_accuracy,sensitivity_shoulders,specificity_no_shoulders,precision_shoulders,kappa
PE,171,48,5,40,78,0.7368421052631579,0.7833386632555165,0.9056603773584906,0.6610169491525424,0.5454545454545454,0.4794696610972062
VPD,171,47,9,41,74,0.7076023391812866,0.7413819875776397,0.8392857142857143,0.6434782608695652,0.5340909090909091,0.4210455037919827
GB,170,54,15,33,68,0.7176470588235294,0.7279380111924236,0.782608695652174,0.6732673267326733,0.6206896551724138,0.43778420835055815
Human majority,170,48,7,39,76,0.7294117647058823,0.766798418972332,0.8727272727272727,0.6608695652173913,0.5517241379310345,0.46328071379547003
